TELEPORT,4397,5/31/2023 8:45,f80ef1e8-e0d1-4106-9f18-4024ff911e22,"(1.8, 0.0, 1.1)",,,,,,,,,,,
TELEPORT,4732,5/31/2023 8:45,f80ef1e8-e0d1-4106-9f18-4024ff911e22,"(1.8, 0.0, 1.1)",,,,,,,,,,,
VOICE_CAPTURE,5520,5/31/2023 8:45,f80ef1e8-e0d1-4106-9f18-4024ff911e22,Oh I'm in the train station now,NA,,,,,,,,,,
PATIENT_DEMOTED,8260,5/31/2023 8:45,f80ef1e8-e0d1-4106-9f18-4024ff911e22,100,Infinity,Mike_1 Root,"(2.7, 0.0, 0.1)","(0.0, 0.7, 0.0, -0.7)",DELAYED,waver,normal,normal,normal,upset,recovery
PATIENT_DEMOTED,8914,5/31/2023 8:45,f80ef1e8-e0d1-4106-9f18-4024ff911e22,100,Infinity,Mike_2 Root,"(2.6, 0.0, 2.4)","(0.0, 0.7, 0.0, -0.7)",IMMEDIATE,walker,fast,normal,normal,upset,sittingGround
PATIENT_DEMOTED,9579,5/31/2023 8:45,f80ef1e8-e0d1-4106-9f18-4024ff911e22,100,128,Mike_3 Root,"(3.0, 0.0, 4.3)","(0.0, 0.7, 0.0, -0.7)",IMMEDIATE,still,faint,collapsedRight,normal,unresponsive,supine
SESSION_START,12111,5/31/2023 8:45,f80ef1e8-e0d1-4106-9f18-4024ff911e22,,,,,,,,,,,,
PATIENT_RECORD,12111,5/31/2023 8:45,f80ef1e8-e0d1-4106-9f18-4024ff911e22,100,Infinity,Mike_0 Root,"(2.6, 0.0, -1.4)","(0.0, 0.7, 0.0, -0.7)",MINIMAL,walker,normal,normal,normal,upset,sittingGround
INJURY_RECORD,12112,5/31/2023 8:45,f80ef1e8-e0d1-4106-9f18-4024ff911e22,R Forearm Laceration,Mike_0 Root,gauzePressure,low,rightArm,FALSE,FALSE,"(2.7, 1.4, -0.9)",,,,
PATIENT_RECORD,12112,5/31/2023 8:45,f80ef1e8-e0d1-4106-9f18-4024ff911e22,100,Infinity,Mike_1 Root,"(2.9, 0.0, 0.1)","(0.0, 0.7, 0.0, -0.7)",DELAYED,waver,normal,normal,normal,upset,recovery
INJURY_RECORD,12112,5/31/2023 8:45,f80ef1e8-e0d1-4106-9f18-4024ff911e22,L Thigh Laceration,Mike_1 Root,tourniquet,medium,leftLeg,FALSE,FALSE,"(2.8, 0.7, -0.1)",,,,
PATIENT_RECORD,12112,5/31/2023 8:45,f80ef1e8-e0d1-4106-9f18-4024ff911e22,100,Infinity,Mike_2 Root,"(3.1, 0.0, 2.2)","(0.0, 0.7, 0.0, -0.7)",IMMEDIATE,walker,fast,normal,normal,upset,sittingGround
INJURY_RECORD,12112,5/31/2023 8:45,f80ef1e8-e0d1-4106-9f18-4024ff911e22,L Shoulder Puncture,Mike_2 Root,woundpack,medium,chest,FALSE,FALSE,"(3.1, 1.5, 2.1)",,,,
