ID,Group,file_name,session_file_name,session_uuid,time_to_triage_scene,time_to_last_hemorrhage_controlled,time_to_hemorrhage_control_per_patient,mean_percentage_tag_correct,over_triage_error_rate,under_triage_error_rate,critical_triage_error_rate,encounter_layout
Responder 1,Medical Student,First responder master registry v2.0/22.03.15.0824r.csv,22.03.15.0824r.csv,fe077b96-8e52-4e1a-8ec7-e5c5f46e65c5,613228,387864,21513.4,90.90909091,0,9.1,0,First 11
Responder 2,Medical Student,First responder master registry v2.0/22.03.15.0826.csv,22.03.15.0826.csv,6cb3d605-3736-4255-bf3b-92473d9df21e,471611,446910,278510.4,54.54545455,1e+01,12.5,0,First 11
Responder 3,Medical Student,First responder master registry v2.0/22.03.15.0844r.csv,22.03.15.0844r.csv,5d916938-e0d3-47ee-8f55-12bf12283ee1,411083,231353,10307.0,72.72727273,9,9.1,9,First 11
Responder 4,Medical Student,First responder master registry v2.0/22.03.15.0926r.csv,22.03.15.0926r.csv,86366fd5-be94-43cc-a9e9-7c98609c0a66,554398,317589,36922.0,63.63636364,2e+01,10.0,0,First 11
Responder 5,Medical Student,First responder master registry v2.0/22.03.15.0946.csv,22.03.15.0946.csv,9a6d2f32-10fb-40ea-bacc-dd6a7d2f4a13,616771,350390,53475.2,36.36363636,0,37.5,1e+01,First 11
Responder 6,Medical Student,First responder master registry v2.0/22.03.15.1036r.csv,22.03.15.1036r.csv,aca8a746-0f72-4c8d-87a5-70d836da8768,536218,370823,21033.8,63.63636364,2e+01,9.1,9,First 11
Responder 7,Medical Student,First responder master registry v2.0/22.03.15.1037r.csv,22.03.15.1037r.csv,0667e56a-abe6-4097-9a56-33735f4855e2,669719,503495,88109.4,72.72727273,1e+01,0.0,1e+01,First 11
Responder 8,Medical Student,First responder master registry v2.0/22.03.15.1052r.csv,22.03.15.1052r.csv,c82e4612-4e6f-4834-bc7f-6092327c44fa,409201,253159,12444.6,63.63636364,9,18.2,9,First 11
Responder 9,Medical Student,First responder master registry v2.0/22.03.15.1100.csv,22.03.15.1100.csv,2930a371-1187-4b98-adfc-19e095637e48,461215,287484,17269.4,81.81818182,0,0.0,2e+01,First 11
Responder 10,Medical Student,First responder master registry v2.0/22.03.15.1106r.csv,22.03.15.1106r.csv,22e2c9a3-b93f-4f7f-896a-ca188c78505b,638276,420145,13249.6,36.36363636,9,45.5,9,First 11
