mean_AD_KDMA_Sim,mean_AD_KDMA_Text,mean_PropTrust,mean_ST_KDMA_Sim,mean_ST_KDMA_Text,mean_percent_accurate_tagging,mean_patient_count,mean_percent_injury_correctly_treated,mean_pulse_taken_count,mean_stills_value,mean_teleport_count,mean_time_to_hemorrhage_control_per_patient,mean_triage_time,sum_action_count,sum_assessment_count,sum_tag_application_count,sum_treatment_count,sum_treated_expectant_count
1.0,-0.058,0.125,-0.277,-0.389,0.173,-0.097,-0.093,0.022,0.04,0.043,0.14,0.18,0.108,-0.03,-0.021,-0.003,0.028
-0.058,1.0,-0.555,0.37,0.02,-0.113,-0.02,0.363,0.212,-0.014,0.144,0.062,-0.114,-0.1,0.213,0.044,0.191,0.072
0.125,-0.555,1.0,-0.168,0.111,-0.032,0.076,-0.305,-0.242,0.031,0.009,-0.144,0.064,0.11,-0.163,-0.034,-0.135,-0.06
-0.277,0.37,-0.168,1.0,0.262,0.106,0.112,0.308,0.258,0.089,0.278,0.173,0.17,0.174,0.375,0.266,0.357,0.193
-0.389,0.02,0.111,0.262,1.0,0.023,0.47,-0.012,-0.049,0.039,0.076,-0.192,-0.04,-0.136,-0.05,0.044,-0.075,-0.267
0.173,-0.113,-0.032,0.106,0.023,1.0,0.153,0.51,0.55,-0.117,0.418,0.372,0.382,0.29,0.455,0.596,0.411,0.372
-0.097,-0.02,0.076,0.112,0.47,0.153,1.0,0.145,0.175,0.195,0.313,0.031,0.367,0.041,0.137,0.251,0.133,-0.075
-0.093,0.363,-0.305,0.308,-0.012,0.51,0.145,1.0,0.672,-0.322,0.529,0.401,0.428,0.304,0.654,0.659,0.694,0.543
0.022,0.212,-0.242,0.258,-0.049,0.55,0.175,0.672,1.0,-0.311,0.452,0.325,0.507,0.286,0.772,0.603,0.509,0.467
0.04,-0.014,0.031,0.089,0.039,-0.117,0.195,-0.322,-0.311,1.0,-0.131,-0.138,-0.13,-0.153,-0.211,-0.216,-0.231,-0.166
0.043,0.144,0.009,0.278,0.076,0.418,0.313,0.529,0.452,-0.131,1.0,0.352,0.509,0.499,0.582,0.692,0.627,0.441
0.14,0.062,-0.144,0.173,-0.192,0.372,0.031,0.401,0.325,-0.138,0.352,1.0,0.447,0.369,0.438,0.487,0.629,0.443
0.18,-0.114,0.064,0.17,-0.04,0.382,0.367,0.428,0.507,-0.13,0.509,0.447,1.0,0.608,0.582,0.618,0.542,0.556
0.108,-0.1,0.11,0.174,-0.136,0.29,0.041,0.304,0.286,-0.153,0.499,0.369,0.608,1.0,0.585,0.712,0.64,0.669
-0.03,0.213,-0.163,0.375,-0.05,0.455,0.137,0.654,0.772,-0.211,0.582,0.438,0.582,0.585,1.0,0.867,0.829,0.775
-0.021,0.044,-0.034,0.266,0.044,0.596,0.251,0.659,0.603,-0.216,0.692,0.487,0.618,0.712,0.867,1.0,0.856,0.717
-0.003,0.191,-0.135,0.357,-0.075,0.411,0.133,0.694,0.509,-0.231,0.627,0.629,0.542,0.64,0.829,0.856,1.0,0.738
0.028,0.072,-0.06,0.193,-0.267,0.372,-0.075,0.543,0.467,-0.166,0.441,0.443,0.556,0.669,0.775,0.717,0.738,1.0
