text_str,ent_phrase,ent_type,ent_start,ent_end,nlp_word,nlp_tag,nlp_type,nlp_pofs,bert_word,bert_entity,bert_score,bert_start,bert_end,is_probe,lr_is_probe,rf_is_probe,hgb_is_probe
healing,,,,,,,,,,,,,,False,,,
national center for ptsd,National Center for PTSD,ORG,34567.0,34591.0,,,,,,,,,,False,,,
geneva convention iii relative,Geneva Convention III Relative,WORK_OF_ART,92815.0,92845.0,,,,,,,,,,False,,,
1959;59(1):1–9,,,,,1959;59(1):1–9,CD,CARDINAL,NUM,,,,,,False,,,
thalamus,,,,,thalamus,NN,,NOUN,,,,,,False,,,
coordinates,,,,,,,,,,,,,,False,,,
prosthetics,,,,,,NNS,,NOUN,,,,,,False,,,
https://www.forbes.com/sites/ekaterinawalter/2014/04/22/4-cs-ofenlightened-leadership/#7749f2a13456,,,,,https://www.forbes.com/sites/ekaterinawalter/2014/04/22/4-cs-ofenlightened-leadership/#7749f2a13456,NNP,,PROPN,,,,,,False,,,
•providers,,,,,•Providers,NNS,,NOUN,,,,,,False,,,
alexander,,,,,Alexander,NNP,,PROPN,,,,,,False,,,
amnesia,,,,,amnesia,NNP,,PROPN,,,,,,False,,,
augment,,,,,augment,,,,,,,,,False,,,
"care,13",,,,,"care,13",NNP,,PROPN,,,,,,False,,,
as high as 33%,as high as 33%,PERCENT,39589.0,39603.0,,,,,,,,,,False,,,
"conflict and health, conflict and health research group","Conflict and Health, Conflict and Health Research Group",ORG,602.0,657.0,,,,,,,,,,False,,,
reimer,,,,,Reimer,NNP,ORG,PROPN,,,,,,False,,,
sequentially,,,,,sequentially,RB,,ADV,,,,,,False,,,
forschungsgemeinschaft,,,,,Forschungsgemeinschaft,NNP,ORG,PROPN,,,,,,False,,,
advanced trauma life,Advanced Trauma Life,ORG,22437.0,22457.0,,,,,,,,,,False,,,
adolescents,,,,,,NNS,,NOUN,,,,,,False,,,
wrongly,,,,,wrongly,RB,,ADV,,,,,,False,,,
macvittie,,,,,MacVittie,NNP,ORG,PROPN,,,,,,False,,,
hissing,,,,,hissing,NN,,NOUN,,,,,,False,,,
weaponry,,,,,weaponry,NN,,NOUN,,,,,,False,,,
"washington, dc: 
government printing office","Washington, DC: 
Government Printing Office",GPE,75504.0,75547.0,,,,,,,,,,False,,,
