min,median,max,IQR,range,mean,SD
0.1750,0.4417,0.8000,0.1333,0.6250,0.4230,0.1082
0.1417,0.4167,0.6250,0.1000,0.4833,0.4083,0.0927
0.0000,4.0000,4.3333,0.3333,4.3333,3.6275,0.9059
0.3615,0.5538,0.6434,0.0650,0.2818,0.5525,0.0610
0.2226,0.3809,0.5691,0.1188,0.3466,0.3778,0.0854
0.0000,28.7500,75.0000,29.8750,75.0000,31.1111,20.3000
4.0000,4.0000,5.0000,0.0000,1.0000,4.2407,0.4315
0.0000,40.0641,85.0000,44.2353,85.0000,37.2691,26.5480
0.0000,6.0000,26.0000,9.7500,26.0000,8.1111,7.6422
0.0000,1.0000,1.0000,1.0000,1.0000,0.6852,0.4688
1.0000,61.5000,168.0000,46.0000,167.0000,64.5556,38.2734
0.0000,7013.5833,74591.5000,15131.1250,74591.5000,11475.0064,15203.9634
18810.0000,844652.0000,1570828.0000,340263.7500,1552018.0000,821150.7222,314559.7220
0.0000,2423936.0000,31239660.0000,6859236.7500,31239660.0000,5064132.0000,6834963.7072
0.0000,18992.0000,227154.0000,49903.0000,227154.0000,39160.7353,54707.8702
0.0000,2711.0000,35540.0000,11362.0000,35540.0000,7269.1029,9751.2518
0.0000,11012.5000,236727.0000,33321.2500,236727.0000,25499.3824,39380.9505
0.0000,359.5000,8163.0000,2537.5000,8163.0000,1663.5882,2224.4107
