session_uuid,scene_id,patient_id,injury_id,is_stills_visited_first,is_walk_command_issued,is_walkers_visited_last,is_wave_command_issued,is_injury_treated,is_pulse_taken,is_tag_correct
009b848c-ea64-4f22-bd40-711213a3d327,0,Bob_0 Root,Face Shrapnel,0,1,0,1,0,1,0
009b848c-ea64-4f22-bd40-711213a3d327,0,Bob_0 Root,L Chest Collapse,0,1,0,1,0,1,0
009b848c-ea64-4f22-bd40-711213a3d327,0,Bob_0 Root,L Stomach Puncture,0,1,0,1,0,1,0
009b848c-ea64-4f22-bd40-711213a3d327,0,Bob_0 Root,L Thigh Laceration,0,1,0,1,0,1,0
009b848c-ea64-4f22-bd40-711213a3d327,0,Bob_0 Root,L Wrist Amputation,0,1,0,1,0,1,0
009b848c-ea64-4f22-bd40-711213a3d327,0,Bob_0 Root,R Shin Amputation,0,1,0,1,0,1,0
009b848c-ea64-4f22-bd40-711213a3d327,0,Bob_9 Root,Ear Bleed,0,1,0,1,0,1,1
009b848c-ea64-4f22-bd40-711213a3d327,0,Gary_1 Root,Face Shrapnel,0,1,0,1,0,1,1
009b848c-ea64-4f22-bd40-711213a3d327,0,Gary_3 Root,R Chest Collapse,0,1,0,1,1,1,1
009b848c-ea64-4f22-bd40-711213a3d327,0,Gloria_6 Root,R Calf Shrapnel,0,1,0,1,0,1,1
009b848c-ea64-4f22-bd40-711213a3d327,0,Gloria_8 Root,L Forearm Laceration,0,1,0,1,1,1,0
009b848c-ea64-4f22-bd40-711213a3d327,0,Helga_10 Root,Forehead Scrape,0,1,0,1,0,0,1
009b848c-ea64-4f22-bd40-711213a3d327,0,Lily_2 Root,R Shin Amputation,0,1,0,1,1,1,0
009b848c-ea64-4f22-bd40-711213a3d327,0,Lily_4 Root,L Side Puncture,0,1,0,1,1,1,1
009b848c-ea64-4f22-bd40-711213a3d327,0,Mike_5 Root,R Side Puncture,0,1,0,1,1,0,1
009b848c-ea64-4f22-bd40-711213a3d327,0,Mike_5 Root,R Thigh Laceration,0,1,0,1,1,0,1
009b848c-ea64-4f22-bd40-711213a3d327,0,Mike_7 Root,L Thigh Puncture,0,1,0,1,1,1,0
009b848c-ea64-4f22-bd40-711213a3d327,0,Mike_7 Root,R Calf Laceration,0,1,0,1,1,1,0
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,1,Bob_0 Root,Face Shrapnel,1,1,1,1,0,1,1
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,1,Bob_0 Root,L Chest Collapse,1,1,1,1,0,1,1
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,1,Bob_0 Root,L Stomach Puncture,1,1,1,1,0,1,1
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,1,Bob_0 Root,L Thigh Laceration,1,1,1,1,0,1,1
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,1,Bob_0 Root,L Wrist Amputation,1,1,1,1,0,1,1
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,1,Bob_0 Root,R Shin Amputation,1,1,1,1,0,1,1
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,1,Gary_1 Root,Face Shrapnel,1,1,1,1,0,1,1
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,1,Gary_3 Root,R Chest Collapse,1,1,1,1,1,1,1
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,1,Gary_9 Root,Ear Bleed,1,1,1,1,0,1,0
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,1,Gloria_6 Root,R Calf Shrapnel,1,1,1,1,1,1,1
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,1,Gloria_8 Root,L Forearm Laceration,1,1,1,1,1,1,1
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,1,Helga_10 Root,Forehead Scrape,1,1,1,1,0,1,1
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,1,Lily_2 Root,R Shin Amputation,1,1,1,1,1,1,0
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,1,Lily_4 Root,L Side Puncture,1,1,1,1,1,1,1
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,1,Mike_5 Root,R Side Puncture,1,1,1,1,1,1,1
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,1,Mike_5 Root,R Thigh Laceration,1,1,1,1,1,1,1
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,1,Mike_7 Root,L Thigh Puncture,1,1,1,1,1,1,1
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,1,Mike_7 Root,R Calf Laceration,1,1,1,1,0,1,1
03b398c5-6fc8-459c-9662-ce1e0babe4b1,0,Bob_0 Root,Face Shrapnel,1,1,1,1,0,1,1
03b398c5-6fc8-459c-9662-ce1e0babe4b1,0,Bob_0 Root,L Chest Collapse,1,1,1,1,0,1,1
03b398c5-6fc8-459c-9662-ce1e0babe4b1,0,Bob_0 Root,L Stomach Puncture,1,1,1,1,0,1,1
03b398c5-6fc8-459c-9662-ce1e0babe4b1,0,Bob_0 Root,L Thigh Laceration,1,1,1,1,0,1,1
03b398c5-6fc8-459c-9662-ce1e0babe4b1,0,Bob_0 Root,L Wrist Amputation,1,1,1,1,0,1,1
03b398c5-6fc8-459c-9662-ce1e0babe4b1,0,Bob_0 Root,R Shin Amputation,1,1,1,1,0,1,1
03b398c5-6fc8-459c-9662-ce1e0babe4b1,0,Gary_1 Root,Face Shrapnel,1,1,1,1,0,1,0
03b398c5-6fc8-459c-9662-ce1e0babe4b1,0,Gary_3 Root,R Chest Collapse,1,1,1,1,1,1,1
03b398c5-6fc8-459c-9662-ce1e0babe4b1,0,Gary_9 Root,Ear Bleed,1,1,1,1,0,1,0
03b398c5-6fc8-459c-9662-ce1e0babe4b1,0,Gloria_6 Root,R Calf Shrapnel,1,1,1,1,0,1,1
03b398c5-6fc8-459c-9662-ce1e0babe4b1,0,Gloria_8 Root,L Forearm Laceration,1,1,1,1,1,1,1
03b398c5-6fc8-459c-9662-ce1e0babe4b1,0,Helga_10 Root,Forehead Scrape,1,1,1,1,0,1,1
03b398c5-6fc8-459c-9662-ce1e0babe4b1,0,Lily_2 Root,R Shin Amputation,1,1,1,1,1,1,1
03b398c5-6fc8-459c-9662-ce1e0babe4b1,0,Lily_4 Root,L Side Puncture,1,1,1,1,1,1,1
03b398c5-6fc8-459c-9662-ce1e0babe4b1,0,Mike_5 Root,R Side Puncture,1,1,1,1,1,1,1
03b398c5-6fc8-459c-9662-ce1e0babe4b1,0,Mike_5 Root,R Thigh Laceration,1,1,1,1,1,1,1
03b398c5-6fc8-459c-9662-ce1e0babe4b1,0,Mike_7 Root,L Thigh Puncture,1,1,1,1,1,1,1
03b398c5-6fc8-459c-9662-ce1e0babe4b1,0,Mike_7 Root,R Calf Laceration,1,1,1,1,0,1,1
040ba585-ccae-45ef-b4bd-a0e35ec222b0,1,Bob_0 Root,Face Shrapnel,0,1,1,1,0,1,1
040ba585-ccae-45ef-b4bd-a0e35ec222b0,1,Bob_0 Root,L Chest Collapse,0,1,1,1,0,1,1
040ba585-ccae-45ef-b4bd-a0e35ec222b0,1,Bob_0 Root,L Stomach Puncture,0,1,1,1,0,1,1
040ba585-ccae-45ef-b4bd-a0e35ec222b0,1,Bob_0 Root,L Thigh Laceration,0,1,1,1,0,1,1
040ba585-ccae-45ef-b4bd-a0e35ec222b0,1,Bob_0 Root,L Wrist Amputation,0,1,1,1,0,1,1
040ba585-ccae-45ef-b4bd-a0e35ec222b0,1,Bob_0 Root,R Shin Amputation,0,1,1,1,0,1,1
040ba585-ccae-45ef-b4bd-a0e35ec222b0,1,Gary_1 Root,Face Shrapnel,0,1,1,1,0,1,1
040ba585-ccae-45ef-b4bd-a0e35ec222b0,1,Gary_3 Root,R Chest Collapse,0,1,1,1,1,1,1
040ba585-ccae-45ef-b4bd-a0e35ec222b0,1,Gary_9 Root,Ear Bleed,0,1,1,1,0,1,1
040ba585-ccae-45ef-b4bd-a0e35ec222b0,1,Gloria_6 Root,R Calf Shrapnel,0,1,1,1,1,1,1
040ba585-ccae-45ef-b4bd-a0e35ec222b0,1,Gloria_8 Root,L Forearm Laceration,0,1,1,1,1,0,1
040ba585-ccae-45ef-b4bd-a0e35ec222b0,1,Helga_10 Root,Forehead Scrape,0,1,1,1,0,1,1
040ba585-ccae-45ef-b4bd-a0e35ec222b0,1,Lily_2 Root,R Shin Amputation,0,1,1,1,1,1,1
040ba585-ccae-45ef-b4bd-a0e35ec222b0,1,Lily_4 Root,L Side Puncture,0,1,1,1,1,1,1
040ba585-ccae-45ef-b4bd-a0e35ec222b0,1,Mike_5 Root,R Side Puncture,0,1,1,1,1,1,1
040ba585-ccae-45ef-b4bd-a0e35ec222b0,1,Mike_5 Root,R Thigh Laceration,0,1,1,1,1,1,1
040ba585-ccae-45ef-b4bd-a0e35ec222b0,1,Mike_7 Root,L Thigh Puncture,0,1,1,1,1,0,1
040ba585-ccae-45ef-b4bd-a0e35ec222b0,1,Mike_7 Root,R Calf Laceration,0,1,1,1,1,0,1
04882754-51a0-4e5b-9617-b200e3609116,1,Bob_0 Root,Face Shrapnel,1,1,0,1,0,1,1
04882754-51a0-4e5b-9617-b200e3609116,1,Bob_0 Root,L Chest Collapse,1,1,0,1,0,1,1
04882754-51a0-4e5b-9617-b200e3609116,1,Bob_0 Root,L Stomach Puncture,1,1,0,1,0,1,1
04882754-51a0-4e5b-9617-b200e3609116,1,Bob_0 Root,L Thigh Laceration,1,1,0,1,0,1,1
04882754-51a0-4e5b-9617-b200e3609116,1,Bob_0 Root,L Wrist Amputation,1,1,0,1,0,1,1
04882754-51a0-4e5b-9617-b200e3609116,1,Bob_0 Root,R Shin Amputation,1,1,0,1,0,1,1
04882754-51a0-4e5b-9617-b200e3609116,1,Gary_1 Root,Face Shrapnel,1,1,0,1,0,1,1
04882754-51a0-4e5b-9617-b200e3609116,1,Gary_3 Root,R Chest Collapse,1,1,0,1,1,1,1
04882754-51a0-4e5b-9617-b200e3609116,1,Gary_9 Root,Ear Bleed,1,1,0,1,0,0,1
04882754-51a0-4e5b-9617-b200e3609116,1,Gloria_6 Root,R Calf Shrapnel,1,1,0,1,1,1,1
04882754-51a0-4e5b-9617-b200e3609116,1,Gloria_8 Root,L Forearm Laceration,1,1,0,1,1,1,1
04882754-51a0-4e5b-9617-b200e3609116,1,Helga_10 Root,Forehead Scrape,1,1,0,1,0,0,1
04882754-51a0-4e5b-9617-b200e3609116,1,Lily_2 Root,R Shin Amputation,1,1,0,1,1,1,1
04882754-51a0-4e5b-9617-b200e3609116,1,Lily_4 Root,L Side Puncture,1,1,0,1,1,1,1
04882754-51a0-4e5b-9617-b200e3609116,1,Mike_5 Root,R Side Puncture,1,1,0,1,1,1,1
04882754-51a0-4e5b-9617-b200e3609116,1,Mike_5 Root,R Thigh Laceration,1,1,0,1,1,1,1
04882754-51a0-4e5b-9617-b200e3609116,1,Mike_7 Root,L Thigh Puncture,1,1,0,1,1,0,0
04882754-51a0-4e5b-9617-b200e3609116,1,Mike_7 Root,R Calf Laceration,1,1,0,1,1,0,0
04acc8f2-1e64-47b2-9606-8d661f584aec,1,Bob_0 Root,Face Shrapnel,1,1,1,1,0,1,1
04acc8f2-1e64-47b2-9606-8d661f584aec,1,Bob_0 Root,L Chest Collapse,1,1,1,1,0,1,1
04acc8f2-1e64-47b2-9606-8d661f584aec,1,Bob_0 Root,L Stomach Puncture,1,1,1,1,0,1,1
04acc8f2-1e64-47b2-9606-8d661f584aec,1,Bob_0 Root,L Thigh Laceration,1,1,1,1,0,1,1
04acc8f2-1e64-47b2-9606-8d661f584aec,1,Bob_0 Root,L Wrist Amputation,1,1,1,1,0,1,1
04acc8f2-1e64-47b2-9606-8d661f584aec,1,Bob_0 Root,R Shin Amputation,1,1,1,1,0,1,1
04acc8f2-1e64-47b2-9606-8d661f584aec,1,Gary_1 Root,Face Shrapnel,1,1,1,1,0,1,1
04acc8f2-1e64-47b2-9606-8d661f584aec,1,Gary_3 Root,R Chest Collapse,1,1,1,1,1,0,1
