participant_id,scene_id,session_uuid,mean_AD_KDMA_Sim,mean_AD_KDMA_Text,mean_PropTrust,mean_ST_KDMA_Sim,mean_ST_KDMA_Text,mean_YrsMilExp,mean_configData_scenarioData_difficulty,mean_actual_engagement_distance,mean_first_engagement,mean_first_treatment,mean_injury_correctly_treated_count,mean_injury_not_treated_count,mean_injury_treatments_count,mean_injury_wrongly_treated_count,mean_last_engagement,mean_last_still_engagement,mean_measure_of_right_ordering,mean_patient_count,mean_percent_hemorrhage_controlled,mean_pulse_taken_count,mean_stills_value,mean_teleport_count,mean_time_to_hemorrhage_control_per_patient,mean_time_to_last_hemorrhage_controlled,mean_total_actions_count,mean_triage_time,mean_voice_capture_count,mean_walk_command_count,mean_walk_value,mean_walkers_value,mean_wave_command_count,mean_wave_value,medical_role,encounter_layout
2024201,0,23081f6e-875e-44f5-8bd0-edc3905f5c2c,0.341666667,0.416666667,3.6666666669999994,0.558333333,0.421211501,,5.0,146.39194402308206,279024.0,294434.0,13.0,7.0,15.0,0.0,1262495.0,985735.0,-0.05703415660340161,15.0,100.0,5.0,0.0,35.0,10495.5,1266851.0,2160.0,1305697.0,60.0,1.0,0.0,0.0,0.0,0.0,Other,Desert
2024201,0,bccb0095-5efd-4c5c-ad58-8b8624f9ab56,0.341666667,0.416666667,3.666666667,0.558333333,0.42121150100000004,,5.0,104.8848698813577,161051.0,176615.0,10.0,6.0,9.0,0.0,615726.0,615049.0,-0.12388454742803523,14.0,100.0,7.0,0.0,38.0,10188.5,587997.0,1909.0,677144.0,56.0,0.0,0.0,0.0,0.0,0.0,Other,Desert
2024201,1,23081f6e-875e-44f5-8bd0-edc3905f5c2c,0.341666667,0.416666667,3.666666667,0.558333333,0.421211501,,5.0,0.0,,,0.0,0.0,0.0,0.0,,,,14.0,0.0,0.0,1.0,6.0,0.0,3112.0,6.0,49981.0,0.0,0.0,0.0,1.0,0.0,0.0,Other,Desert
2024201,2,23081f6e-875e-44f5-8bd0-edc3905f5c2c,0.34166666700000003,0.416666667,3.6666666670000003,0.558333333,0.42121150100000004,,5.0,0.0,,,0.0,0.0,0.0,0.0,,,,9.0,,0.0,1.0,3.0,,0.0,3.0,44542.0,0.0,0.0,0.0,1.0,0.0,0.0,Other,Desert
2024201,3,23081f6e-875e-44f5-8bd0-edc3905f5c2c,0.341666667,0.416666667,3.666666667,0.558333333,0.421211501,,5.0,0.0,,,0.0,0.0,0.0,0.0,,,,9.0,,0.0,1.0,1.0,,0.0,1.0,19844.0,0.0,0.0,0.0,1.0,0.0,0.0,Other,Desert
2024202,0,220b609b-0e35-454e-9afd-c84cbfa3e3ad,0.341666667,0.41666666699999994,4.333333333,0.595512821,0.43477495900000007,,5.0,218.1351645229809,109166.0,120554.0,12.0,11.0,18.0,3.0,1420829.0,856147.0,-0.03818639779721278,16.0,87.5,53.0,0.0,132.0,129621.0,1091673.0,3359.0,1454807.0,32.0,0.0,0.0,0.0,0.0,0.0,Paramedic,Urban
2024202,0,922ad146-241a-4ea6-8ff1-413d7e0d16ec,0.341666667,0.416666667,4.333333333,0.595512821,0.434774959,,5.0,110.87573031337116,273798.0,286716.0,10.0,10.0,10.0,1.0,1051892.0,797264.0,-0.09061680954771889,15.0,75.0,50.0,0.0,61.0,10631.75,861888.0,3892.0,1076827.0,5.0,0.0,0.0,0.0,0.0,0.0,Paramedic,Desert
2024202,1,922ad146-241a-4ea6-8ff1-413d7e0d16ec,0.341666667,0.416666667,4.333333333,0.595512821,0.434774959,,5.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,1.0,1.0,,0.0,1.0,5424.0,0.0,0.0,0.0,1.0,0.0,0.0,Paramedic,Desert
2024203,0,4bc46c8c-66e7-463d-b3a1-2a8303af4fd1,0.466666667,0.516666667,4.0,0.587820513,0.331948761,,5.0,32.4856208281089,65989.0,124849.0,5.0,1.0,4.0,0.0,547243.0,429835.0,0.007080275866303221,11.0,0.0,29.0,0.0,35.0,0.0,15780.0,721.0,616273.0,56.0,0.0,0.0,0.0,0.0,0.0,Medical student,Jungle
2024203,0,acf74a81-a534-44c7-9cb1-67ec381b5ee0,0.466666667,0.516666667,4.0,0.587820513,0.331948761,,5.0,46.981948161743155,267784.0,382512.0,14.0,7.0,19.0,0.0,1371254.0,979998.0,0.9981195369456989,11.0,100.0,48.0,0.0,76.0,19130.5,1072078.0,3435.0,1375415.0,2.0,1.0,0.0,0.0,0.0,0.0,Medical student,Submarine
2024203,1,acf74a81-a534-44c7-9cb1-67ec381b5ee0,0.466666667,0.516666667,4.0,0.587820513,0.331948761,,5.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,1.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Medical student,Submarine
2024204,0,80f79d45-22fd-479d-b6e2-c62b5778e073,0.4,0.316666667,4.0,0.608333333,0.289871777,,5.0,33.74293390086109,173713.0,299384.0,5.0,3.0,7.0,0.0,1018824.0,781082.0,-0.007650021947509522,11.0,0.0,13.0,0.0,84.0,0.0,176034.0,2507.0,1035657.0,57.0,2.0,0.0,0.0,3.0,0.0,Medical student,Jungle
2024204,0,cbbf410f-4657-428e-9616-8a777cc4704d,0.4,0.316666667,4.0,0.6083333330000001,0.289871777,,5.0,21.30641169637643,113388.0,130969.0,4.0,2.0,3.0,0.0,543948.0,355809.0,1.0,10.0,0.0,13.0,1.0,38.0,0.0,45818.0,1101.0,617611.0,14.0,0.0,0.0,1.0,2.0,0.0,Medical student,Submarine
2024204,1,80f79d45-22fd-479d-b6e2-c62b5778e073,0.4,0.316666667,4.0,0.608333333,0.289871777,,5.0,0.0,1054723.0,,0.0,0.0,0.0,0.0,1054723.0,,,1.0,,0.0,1.0,1.0,,0.0,2.0,6050.0,0.0,0.0,0.0,1.0,0.0,0.0,Medical student,Jungle
2024205,0,ddfb4e6e-f7c3-4321-89df-b6208f336318,0.175,0.366666667,3.333333333,0.623076923,0.569123585,,5.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,1.0,0.0,,0.0,0.0,15497.0,1.0,0.0,0.0,1.0,0.0,0.0,Other,Desert
2024205,0,df2fcf88-874b-4cf9-9707-3fa0b30c348f,0.175,0.366666667,3.333333333,0.623076923,0.569123585,,5.0,143.41121481761292,114345.0,127549.0,9.0,4.0,10.0,0.0,779469.0,695092.0,-0.11438544536079975,15.0,50.0,15.0,0.0,68.0,24894.166666666668,822436.0,1451.0,839323.0,78.0,0.0,0.0,0.0,0.0,0.0,Other,Urban
2024205,1,ddfb4e6e-f7c3-4321-89df-b6208f336318,0.175,0.366666667,3.333333333,0.623076923,0.569123585,,5.0,22.566193589285184,136693.0,236588.0,1.0,0.0,1.0,0.0,466715.0,,1.0,14.0,0.0,8.0,1.0,49.0,0.0,10975.0,691.0,489077.0,74.0,0.0,0.0,1.0,0.0,0.0,Other,Desert
2024206,0,499179ba-3138-4bae-918e-ffc7fb943760,0.475,0.46666666700000003,2.333333333,0.643356643,0.38765428399999996,,5.0,168.15341485228396,261870.0,285921.0,12.0,12.0,18.0,1.0,1673420.0,1167555.0,-0.030626931341030564,16.0,87.5,43.0,0.0,119.0,53275.333333333336,1613249.0,1932.0,1742766.0,7.0,0.0,0.0,0.0,5.0,0.0,Medical student,Urban
