session_uuid,scene_id,last_still_engagement,actual_engagement_distance,measure_of_right_ordering,adherence_to_salt,has_patient_in_agony,patient_count,cluster_label
02d472ac-f6fe-474c-815d-6125fadfcbf7,0,893179.0,52.63918701934259,0.9664940347378954,False,True,10.0,0
04f80090-9e61-431d-8473-dccb75fed04d,0,705478.0,55.893010397751574,0.984341293779347,False,True,11.0,0
0bc62b93-ac4d-40ef-bdfe-1d7badb24f70,0,776631.0,66.07985240030195,1.0,True,True,11.0,0
1995e7ef-ef02-4fc1-b1ab-f137dbf69d48,0,751815.0,176.42572038146676,-0.12434081676502906,False,True,16.0,1
21f8cb5d-f5ac-4a01-9287-43df5f6751a1,0,639800.0,46.17843564167075,1.0,True,True,11.0,0
21f8cb5d-f5ac-4a01-9287-43df5f6751a1,1,,0.0,,False,False,0.0,2
220b609b-0e35-454e-9afd-c84cbfa3e3ad,0,856147.0,218.1351645229809,-0.03818639779721278,False,True,16.0,3
23081f6e-875e-44f5-8bd0-edc3905f5c2c,0,985735.0,146.39194402308206,-0.05703415660340161,False,True,15.0,4
23081f6e-875e-44f5-8bd0-edc3905f5c2c,1,,0.0,,False,True,14.0,2
23081f6e-875e-44f5-8bd0-edc3905f5c2c,2,,0.0,,False,True,9.0,2
23081f6e-875e-44f5-8bd0-edc3905f5c2c,3,,0.0,,False,True,9.0,2
287389c4-4c48-4483-87c0-6b363b57bde2,0,581897.0,62.682930503749446,-0.12284782493706503,False,True,11.0,0
2e8f6555-a7fa-4b54-8132-c030d697b4ad,0,579541.0,47.69246173721653,1.0,True,True,11.0,0
37a554ee-fc49-4730-819c-2d97727bb0b7,0,711616.0,161.83772232394597,-0.03463295013984169,False,True,15.0,4
385032e9-9801-4dcf-a841-b3703a0d9acd,0,972273.0,217.3008727776401,-0.03831608402431619,False,True,16.0,3
3cf14e31-f416-4c78-8a69-91bf0c685448,0,518149.0,57.83106619939854,-0.1218703539435857,False,True,12.0,0
3cf14e31-f416-4c78-8a69-91bf0c685448,1,,0.0,,False,False,0.0,2
45365e18-6e38-48e7-b4a2-6b448b209034,0,566568.0,191.80220996866612,-0.01817290647483083,False,True,16.0,5
499179ba-3138-4bae-918e-ffc7fb943760,0,1167555.0,168.15341485228396,-0.03062693134103056,False,True,16.0,6
4bc46c8c-66e7-463d-b3a1-2a8303af4fd1,0,429835.0,32.4856208281089,0.007080275866303221,False,True,11.0,7
4de6e23f-3c00-49d9-bbac-3a9febab4311,0,861995.0,179.90074542532895,-0.055141140684221934,False,True,16.0,1
