session_uuid,scene_id,environment_id,participant_id,participantId0,ParticipantID0,sim_id1,sim_id2,ST_Del_Text,AD_AttribGrp_Sim,Trust,ST_ConfFC_Text,Delegation,AD_Del_Text,MedExp,AD_AttribGrp_Text,ST_ConfFC_Omni_Text,PropTrust,ST_KDMA_Text,AD_KDMA_Text,ST_AttribGrp_Text,ST_Del_Omni_Text,MilitaryExp,AD_ConfFC_Omni_Text,MedRole,ST_AttribGrp_Sim,AD_ConfFC_Text,ST_KDMA_Sim,AD_Del_Omni_Text,AD_KDMA_Sim,teleport_count,voice_capture_count,total_distance_covered,injury_treatments_count,pulse_oximeter_count,average_time_between_engagement_or_teleportation,average_time_per_patient,tag_applied_count,tag_applied_expectant,pulse_taken_count,YrsMilExp
23081f6e-875e-44f5-8bd0-edc3905f5c2c,1,Desert,2024202,2024201.0,2024202.0,"14750    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14751    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14752    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14753    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14754    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14755    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14756    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14757    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14758    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14759    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14760    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14761    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14762    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14763    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14764    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14765    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14766    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14767    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14768    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14769    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14770    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14771    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14772    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14773    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14774    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14775    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14776    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14777    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14778    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14779    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14780    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14781    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14782    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14783    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14784    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14785    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14786    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14787    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14788    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14789    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14790    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14791    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14792    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14793    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14794    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14795    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14796    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14797    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
14798    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
Name: Sim1, dtype: object","14750    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14751    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14752    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14753    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14754    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14755    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14756    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14757    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14758    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14759    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14760    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14761    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14762    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14763    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14764    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14765    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14766    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14767    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14768    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14769    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14770    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14771    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14772    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14773    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14774    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14775    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14776    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14777    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14778    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14779    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14780    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14781    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14782    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14783    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14784    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14785    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14786    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14787    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14788    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14789    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14790    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14791    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14792    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14793    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14794    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14795    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14796    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14797    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
14798    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
Name: Sim2, dtype: object",1.0,0.0,2.25,2.5,0.75,0.5,2.0,0.0,4.0,1.3333333333333333,0.43477495859441906,0.41666666666666663,1.0,1.0,0.0,4.0,5.0,0.0,2.5,0.34832616000671396,1.0,0.3416666666666667,6,0,,0,0,,0.0,0,0,0,
bccb0095-5efd-4c5c-ad58-8b8624f9ab56,0,Desert,2024202,2024201.0,2024202.0,"70047    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
70048    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
70049    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
70050    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
70051    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
                         ...                  
73272    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
73273    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
73274    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
73275    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
73276    23081f6e-875e-44f5-8bd0-edc3905f5c2c_
Name: Sim1, Length: 3230, dtype: object","70047    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
70048    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
70049    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
70050    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
70051    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
                         ...                  
73272    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
73273    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
73274    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
73275    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
73276    bccb0095-5efd-4c5c-ad58-8b8624f9ab56_
Name: Sim2, Length: 3230, dtype: object",1.0,0.0,2.25,2.5,0.75,0.5,2.0,0.0,4.0,1.3333333333333333,0.43477495859441906,0.41666666666666663,1.0,1.0,0.0,4.0,5.0,0.0,2.5,0.34832616000671396,1.0,0.3416666666666667,38,56,45.17400142433919,4,0,41861.666666666664,31396.25,1,1,5,
4bc46c8c-66e7-463d-b3a1-2a8303af4fd1,0,Jungle,2024204,2024203.0,2024204.0,"24307    acf74a81-a534-44c7-9cb1-67ec381b5ee0_
24308    acf74a81-a534-44c7-9cb1-67ec381b5ee0_
24309    acf74a81-a534-44c7-9cb1-67ec381b5ee0_
24310    acf74a81-a534-44c7-9cb1-67ec381b5ee0_
24311    acf74a81-a534-44c7-9cb1-67ec381b5ee0_
                         ...                  
26660    acf74a81-a534-44c7-9cb1-67ec381b5ee0_
26661    acf74a81-a534-44c7-9cb1-67ec381b5ee0_
26662    acf74a81-a534-44c7-9cb1-67ec381b5ee0_
26663    acf74a81-a534-44c7-9cb1-67ec381b5ee0_
26664    acf74a81-a534-44c7-9cb1-67ec381b5ee0_
Name: Sim1, Length: 2358, dtype: object","24307    4bc46c8c-66e7-463d-b3a1-2a8303af4fd1_
24308    4bc46c8c-66e7-463d-b3a1-2a8303af4fd1_
24309    4bc46c8c-66e7-463d-b3a1-2a8303af4fd1_
24310    4bc46c8c-66e7-463d-b3a1-2a8303af4fd1_
24311    4bc46c8c-66e7-463d-b3a1-2a8303af4fd1_
                         ...                  
26660    4bc46c8c-66e7-463d-b3a1-2a8303af4fd1_
26661    4bc46c8c-66e7-463d-b3a1-2a8303af4fd1_
26662    4bc46c8c-66e7-463d-b3a1-2a8303af4fd1_
26663    4bc46c8c-66e7-463d-b3a1-2a8303af4fd1_
26664    4bc46c8c-66e7-463d-b3a1-2a8303af4fd1_
Name: Sim2, Length: 2358, dtype: object",1.0,0.0,3.125,4.0,1.0,1.0,0.0,0.0,4.0,1.0,0.2898717766301747,0.31666666666666665,0.0,1.0,0.0,4.0,1.0,0.0,2.5,0.36508179815267516,1.0,0.39999999999999997,35,56,66.9797961780575,0,0,,0.0,0,0,0,
67dc0230-511d-41ac-ae9b-850900ab9e6a,0,Jungle,2024205,2024208.0,2024205.0,"36949    0bc62b93-ac4d-40ef-bdfe-1d7badb24f70_
36950    0bc62b93-ac4d-40ef-bdfe-1d7badb24f70_
36951    0bc62b93-ac4d-40ef-bdfe-1d7badb24f70_
36952    0bc62b93-ac4d-40ef-bdfe-1d7badb24f70_
36953    0bc62b93-ac4d-40ef-bdfe-1d7badb24f70_
                         ...                  
38566    0bc62b93-ac4d-40ef-bdfe-1d7badb24f70_
38567    0bc62b93-ac4d-40ef-bdfe-1d7badb24f70_
38568    0bc62b93-ac4d-40ef-bdfe-1d7badb24f70_
38569    0bc62b93-ac4d-40ef-bdfe-1d7badb24f70_
38570    0bc62b93-ac4d-40ef-bdfe-1d7badb24f70_
Name: Sim1, Length: 1622, dtype: object","36949    67dc0230-511d-41ac-ae9b-850900ab9e6a_
36950    67dc0230-511d-41ac-ae9b-850900ab9e6a_
36951    67dc0230-511d-41ac-ae9b-850900ab9e6a_
36952    67dc0230-511d-41ac-ae9b-850900ab9e6a_
36953    67dc0230-511d-41ac-ae9b-850900ab9e6a_
                         ...                  
38566    67dc0230-511d-41ac-ae9b-850900ab9e6a_
38567    67dc0230-511d-41ac-ae9b-850900ab9e6a_
38568    67dc0230-511d-41ac-ae9b-850900ab9e6a_
38569    67dc0230-511d-41ac-ae9b-850900ab9e6a_
38570    67dc0230-511d-41ac-ae9b-850900ab9e6a_
Name: Sim2, Length: 1622, dtype: object",1.0,0.0,2.25,3.0,0.75,0.5,0.0,0.0,2.0,0.3333333333333333,0.5691235850797629,0.3666666666666667,1.0,1.0,0.0,2.0,6.0,1.0,2.0,0.42389024607430104,1.0,0.17500000000000002,82,90,20.52243427351761,10,3,47843.0,35882.25,4,1,20,
df2fcf88-874b-4cf9-9707-3fa0b30c348f,0,Urban,2024206,2024205.0,2024206.0,"90064    ddfb4e6e-f7c3-4321-89df-b6208f336318_
90065    ddfb4e6e-f7c3-4321-89df-b6208f336318_
90066    ddfb4e6e-f7c3-4321-89df-b6208f336318_
90067    ddfb4e6e-f7c3-4321-89df-b6208f336318_
90068    ddfb4e6e-f7c3-4321-89df-b6208f336318_
                         ...                  
92285    ddfb4e6e-f7c3-4321-89df-b6208f336318_
92286    ddfb4e6e-f7c3-4321-89df-b6208f336318_
92287    ddfb4e6e-f7c3-4321-89df-b6208f336318_
92288    ddfb4e6e-f7c3-4321-89df-b6208f336318_
92289    ddfb4e6e-f7c3-4321-89df-b6208f336318_
Name: Sim1, Length: 2226, dtype: object","90064    df2fcf88-874b-4cf9-9707-3fa0b30c348f_
90065    df2fcf88-874b-4cf9-9707-3fa0b30c348f_
90066    df2fcf88-874b-4cf9-9707-3fa0b30c348f_
90067    df2fcf88-874b-4cf9-9707-3fa0b30c348f_
90068    df2fcf88-874b-4cf9-9707-3fa0b30c348f_
                         ...                  
92285    df2fcf88-874b-4cf9-9707-3fa0b30c348f_
92286    df2fcf88-874b-4cf9-9707-3fa0b30c348f_
92287    df2fcf88-874b-4cf9-9707-3fa0b30c348f_
92288    df2fcf88-874b-4cf9-9707-3fa0b30c348f_
92289    df2fcf88-874b-4cf9-9707-3fa0b30c348f_
Name: Sim2, Length: 2226, dtype: object",0.5,1.0,2.625,2.5,0.75,1.0,0.0,1.0,3.0,-0.6666666666666666,0.3876542836186125,0.4666666666666667,1.0,1.0,0.0,3.0,1.0,1.0,1.5,0.40825802605503686,1.0,0.475,68,78,49.38038079615288,7,1,72598.0,29039.2,2,1,3,
04f80090-9e61-431d-8473-dccb75fed04d,0,Submarine,2024208,2024207.0,2024208.0,"0       8839e3b8-be5e-4878-8aaf-26c656ae2270_
1       8839e3b8-be5e-4878-8aaf-26c656ae2270_
2       8839e3b8-be5e-4878-8aaf-26c656ae2270_
3       8839e3b8-be5e-4878-8aaf-26c656ae2270_
4       8839e3b8-be5e-4878-8aaf-26c656ae2270_
                        ...                  
3441    8839e3b8-be5e-4878-8aaf-26c656ae2270_
3442    8839e3b8-be5e-4878-8aaf-26c656ae2270_
3443    8839e3b8-be5e-4878-8aaf-26c656ae2270_
3444    8839e3b8-be5e-4878-8aaf-26c656ae2270_
3445    8839e3b8-be5e-4878-8aaf-26c656ae2270_
Name: Sim1, Length: 3446, dtype: object","0       04f80090-9e61-431d-8473-dccb75fed04d_
1       04f80090-9e61-431d-8473-dccb75fed04d_
2       04f80090-9e61-431d-8473-dccb75fed04d_
3       04f80090-9e61-431d-8473-dccb75fed04d_
4       04f80090-9e61-431d-8473-dccb75fed04d_
                        ...                  
3441    04f80090-9e61-431d-8473-dccb75fed04d_
3442    04f80090-9e61-431d-8473-dccb75fed04d_
3443    04f80090-9e61-431d-8473-dccb75fed04d_
3444    04f80090-9e61-431d-8473-dccb75fed04d_
3445    04f80090-9e61-431d-8473-dccb75fed04d_
Name: Sim2, Length: 3446, dtype: object",1.0,0.0,2.125,3.0,1.0,1.0,0.0,0.0,4.0,1.3333333333333333,0.3259200369935864,0.31666666666666665,0.0,1.0,0.0,4.0,1.0,1.0,2.5,0.36994817436087346,1.0,0.4666666666666667,62,40,63.73466648661215,16,0,77695.66666666667,58271.75,4,0,10,
8839e3b8-be5e-4878-8aaf-26c656ae2270,0,Jungle,2024208,2024207.0,2024208.0,"48373    8839e3b8-be5e-4878-8aaf-26c656ae2270_
48374    8839e3b8-be5e-4878-8aaf-26c656ae2270_
48375    8839e3b8-be5e-4878-8aaf-26c656ae2270_
48376    8839e3b8-be5e-4878-8aaf-26c656ae2270_
48377    8839e3b8-be5e-4878-8aaf-26c656ae2270_
                         ...                  
49926    8839e3b8-be5e-4878-8aaf-26c656ae2270_
49927    8839e3b8-be5e-4878-8aaf-26c656ae2270_
49928    8839e3b8-be5e-4878-8aaf-26c656ae2270_
49929    8839e3b8-be5e-4878-8aaf-26c656ae2270_
49930    8839e3b8-be5e-4878-8aaf-26c656ae2270_
Name: Sim1, Length: 1558, dtype: object","48373    04f80090-9e61-431d-8473-dccb75fed04d_
48374    04f80090-9e61-431d-8473-dccb75fed04d_
48375    04f80090-9e61-431d-8473-dccb75fed04d_
48376    04f80090-9e61-431d-8473-dccb75fed04d_
48377    04f80090-9e61-431d-8473-dccb75fed04d_
                         ...                  
49926    04f80090-9e61-431d-8473-dccb75fed04d_
49927    04f80090-9e61-431d-8473-dccb75fed04d_
49928    04f80090-9e61-431d-8473-dccb75fed04d_
49929    04f80090-9e61-431d-8473-dccb75fed04d_
49930    04f80090-9e61-431d-8473-dccb75fed04d_
Name: Sim2, Length: 1558, dtype: object",1.0,0.0,2.125,3.0,1.0,1.0,0.0,0.0,4.0,1.3333333333333333,0.3259200369935864,0.31666666666666665,0.0,1.0,0.0,4.0,1.0,1.0,2.5,0.36994817436087346,1.0,0.4666666666666667,26,64,10.012288179233586,6,1,96135.5,48067.75,2,0,23,
b5989edc-8348-4b84-b649-87fc4f1cca53,0,Desert,2024209,2024209.0,2024209.0,"64004    385032e9-9801-4dcf-a841-b3703a0d9acd_
64005    385032e9-9801-4dcf-a841-b3703a0d9acd_
64006    385032e9-9801-4dcf-a841-b3703a0d9acd_
64007    385032e9-9801-4dcf-a841-b3703a0d9acd_
64008    385032e9-9801-4dcf-a841-b3703a0d9acd_
                         ...                  
70042    385032e9-9801-4dcf-a841-b3703a0d9acd_
70043    385032e9-9801-4dcf-a841-b3703a0d9acd_
70044    385032e9-9801-4dcf-a841-b3703a0d9acd_
70045    385032e9-9801-4dcf-a841-b3703a0d9acd_
70046    385032e9-9801-4dcf-a841-b3703a0d9acd_
Name: Sim1, Length: 6043, dtype: object","64004    b5989edc-8348-4b84-b649-87fc4f1cca53_
64005    b5989edc-8348-4b84-b649-87fc4f1cca53_
64006    b5989edc-8348-4b84-b649-87fc4f1cca53_
64007    b5989edc-8348-4b84-b649-87fc4f1cca53_
64008    b5989edc-8348-4b84-b649-87fc4f1cca53_
                         ...                  
70042    b5989edc-8348-4b84-b649-87fc4f1cca53_
70043    b5989edc-8348-4b84-b649-87fc4f1cca53_
70044    b5989edc-8348-4b84-b649-87fc4f1cca53_
70045    b5989edc-8348-4b84-b649-87fc4f1cca53_
70046    b5989edc-8348-4b84-b649-87fc4f1cca53_
Name: Sim2, Length: 6043, dtype: object",1.0,0.0,2.25,2.0,1.0,1.0,0.0,0.0,2.0,0.6666666666666666,0.4618638247683137,0.3666666666666667,1.0,1.0,1.0,2.0,6.0,0.0,2.5,0.3107657748024402,1.0,0.31666666666666665,74,90,19.233900761970993,4,2,69248.0,51936.0,4,1,6,3.0
5d8d73a3-1898-4f64-8676-73edd1b7daa0,0,Jungle,2024211,2024211.0,2024211.0,"29619    02d472ac-f6fe-474c-815d-6125fadfcbf7_
29620    02d472ac-f6fe-474c-815d-6125fadfcbf7_
29621    02d472ac-f6fe-474c-815d-6125fadfcbf7_
29622    02d472ac-f6fe-474c-815d-6125fadfcbf7_
29623    02d472ac-f6fe-474c-815d-6125fadfcbf7_
                         ...                  
33576    02d472ac-f6fe-474c-815d-6125fadfcbf7_
33577    02d472ac-f6fe-474c-815d-6125fadfcbf7_
33578    02d472ac-f6fe-474c-815d-6125fadfcbf7_
33579    02d472ac-f6fe-474c-815d-6125fadfcbf7_
33580    02d472ac-f6fe-474c-815d-6125fadfcbf7_
Name: Sim1, Length: 3962, dtype: object","29619    5d8d73a3-1898-4f64-8676-73edd1b7daa0_
29620    5d8d73a3-1898-4f64-8676-73edd1b7daa0_
29621    5d8d73a3-1898-4f64-8676-73edd1b7daa0_
29622    5d8d73a3-1898-4f64-8676-73edd1b7daa0_
29623    5d8d73a3-1898-4f64-8676-73edd1b7daa0_
                         ...                  
33576    5d8d73a3-1898-4f64-8676-73edd1b7daa0_
33577    5d8d73a3-1898-4f64-8676-73edd1b7daa0_
33578    5d8d73a3-1898-4f64-8676-73edd1b7daa0_
33579    5d8d73a3-1898-4f64-8676-73edd1b7daa0_
33580    5d8d73a3-1898-4f64-8676-73edd1b7daa0_
Name: Sim2, Length: 3962, dtype: object",1.0,1.0,2.375,2.5,1.0,1.0,1.0,1.0,2.0,0.3333333333333333,0.26748816757744404,0.475,0.0,1.0,0.0,2.0,2.0,1.0,2.5,0.4057313556190374,1.0,0.5,114,44,113.0400984811919,10,4,71167.5,35583.75,2,0,6,
2e8f6555-a7fa-4b54-8132-c030d697b4ad,0,Jungle,2024212,2024212.0,2024212.0,"17631    2e8f6555-a7fa-4b54-8132-c030d697b4ad_
17632    2e8f6555-a7fa-4b54-8132-c030d697b4ad_
17633    2e8f6555-a7fa-4b54-8132-c030d697b4ad_
17634    2e8f6555-a7fa-4b54-8132-c030d697b4ad_
17635    2e8f6555-a7fa-4b54-8132-c030d697b4ad_
                         ...                  
19071    2e8f6555-a7fa-4b54-8132-c030d697b4ad_
19072    2e8f6555-a7fa-4b54-8132-c030d697b4ad_
19073    2e8f6555-a7fa-4b54-8132-c030d697b4ad_
19074    2e8f6555-a7fa-4b54-8132-c030d697b4ad_
19075    2e8f6555-a7fa-4b54-8132-c030d697b4ad_
Name: Sim1, Length: 1445, dtype: object","17631    5a909dc4-0f86-430d-a400-e37139cba69f_
17632    5a909dc4-0f86-430d-a400-e37139cba69f_
17633    5a909dc4-0f86-430d-a400-e37139cba69f_
17634    5a909dc4-0f86-430d-a400-e37139cba69f_
17635    5a909dc4-0f86-430d-a400-e37139cba69f_
                         ...                  
19071    5a909dc4-0f86-430d-a400-e37139cba69f_
19072    5a909dc4-0f86-430d-a400-e37139cba69f_
19073    5a909dc4-0f86-430d-a400-e37139cba69f_
19074    5a909dc4-0f86-430d-a400-e37139cba69f_
19075    5a909dc4-0f86-430d-a400-e37139cba69f_
Name: Sim2, Length: 1445, dtype: object",1.0,1.0,2.625,2.5,1.0,1.0,0.0,0.0,3.0,1.0,0.22255253900755534,0.14166666666666666,0.0,1.0,1.0,3.0,6.0,0.0,2.5,0.23380992715395343,1.0,0.55,17,40,11.996407816771281,0,1,45717.0,11429.25,0,0,0,12.0
