session_uuid,scene_id,last_still_engagement,actual_engagement_distance,measure_of_right_ordering,adherence_to_salt,has_patient_in_agony,patient_count,cluster_label,participant_id,first_engagement,first_treatment,injury_correctly_treated_count,injury_not_treated_count,injury_treatments_count,injury_wrongly_treated_count,is_scene_aborted,last_engagement,percent_hemorrhage_controlled,pulse_taken_count,scene_end,scene_start,stills_value,teleport_count,time_to_hemorrhage_control_per_patient,time_to_last_hemorrhage_controlled,total_actions_count,triage_time,voice_capture_count,walk_command_count,walk_value,walkers_value,wave_command_count,wave_value,scene_type
02d472ac-f6fe-474c-815d-6125fadfcbf7,0,893179.0,52.63918701934259,0.9664940347378954,False,True,10,0,2024211,198340.0,237714.0,14,13,29,4,True,1346328.0,100.0,22,1380425,719,0,150,79246.0,1039862,4829,1379706,78,0,0,0,0,0,Triage
04f80090-9e61-431d-8473-dccb75fed04d,0,705478.0,55.893010397751574,0.984341293779347,False,True,11,0,2024207,78040.0,119452.0,16,3,24,0,False,938448.0,100.0,19,943148,662,0,62,22673.0,898559,2181,942486,40,0,0,0,1,0,Triage
0bc62b93-ac4d-40ef-bdfe-1d7badb24f70,0,776631.0,66.07985240030195,1.0,True,True,11,0,2024208,201273.0,232484.0,11,5,18,0,True,1005250.0,33.333333333333336,40,1045177,776,1,172,25065.0,884909,4142,1044401,174,3,0,1,5,0,Triage
1995e7ef-ef02-4fc1-b1ab-f137dbf69d48,0,751815.0,176.42572038146676,-0.12434081676502906,False,True,16,1,2024217,84237.0,104367.0,6,1,5,0,False,752466.0,12.5,45,768851,651,0,87,31864.833333333332,707230,2996,768200,72,0,0,0,1,0,Triage
21f8cb5d-f5ac-4a01-9287-43df5f6751a1,0,639800.0,46.17843564167075,1.0,True,True,11,0,2024219,91725.0,120880.0,12,0,17,0,False,727579.0,66.66666666666667,29,777363,636,1,109,10055.5,747054,1328,776727,66,0,0,1,7,0,Triage
21f8cb5d-f5ac-4a01-9287-43df5f6751a1,1,,0.0,,False,False,0,2,2024219,,,0,0,0,0,True,,,0,789546,789546,1,1,,0,1,0,0,0,0,1,0,0,Orientation
220b609b-0e35-454e-9afd-c84cbfa3e3ad,0,856147.0,218.1351645229809,-0.03818639779721278,False,True,16,3,2024202,109166.0,120554.0,12,11,18,3,True,1420829.0,87.5,53,1455541,734,0,132,129621.0,1091673,3359,1454807,32,0,0,0,0,0,Triage
23081f6e-875e-44f5-8bd0-edc3905f5c2c,0,985735.0,146.39194402308206,-0.05703415660340161,False,True,15,4,2024201,279024.0,294434.0,13,7,15,0,True,1262495.0,100.0,5,1306372,675,0,35,10495.5,1266851,2160,1305697,60,1,0,0,0,0,Triage
23081f6e-875e-44f5-8bd0-edc3905f5c2c,1,,0.0,,False,True,14,2,2024201,,,0,0,0,0,False,,0.0,0,1403554,1353573,1,6,0.0,3112,6,49981,0,0,0,1,0,0,Triage
23081f6e-875e-44f5-8bd0-edc3905f5c2c,2,,0.0,,False,True,9,2,2024201,,,0,0,0,0,False,,,0,1465847,1421305,1,3,,0,3,44542,0,0,0,1,0,0,Triage
23081f6e-875e-44f5-8bd0-edc3905f5c2c,3,,0.0,,False,True,9,2,2024201,,,0,0,0,0,True,,,0,1497960,1478116,1,1,,0,1,19844,0,0,0,1,0,0,Triage
287389c4-4c48-4483-87c0-6b363b57bde2,0,581897.0,62.682930503749446,-0.12284782493706503,False,True,11,0,2024220,72145.0,84617.0,10,4,14,0,False,591563.0,0.0,8,600448,649,0,27,881.0,590155,996,599799,19,0,0,0,2,0,Triage
2e8f6555-a7fa-4b54-8132-c030d697b4ad,0,579541.0,47.69246173721653,1.0,True,True,11,0,2024212,96379.0,133267.0,3,0,3,0,False,632164.0,0.0,6,642346,747,1,17,0.0,24754,678,641599,40,6,0,1,6,0,Triage
37a554ee-fc49-4730-819c-2d97727bb0b7,0,711616.0,161.83772232394597,-0.03463295013984169,False,True,15,4,2024218,258619.0,279352.0,9,6,8,0,True,986937.0,75.0,37,1029379,722,0,74,74652.75,951267,6308,1028657,69,0,0,0,0,0,Triage
385032e9-9801-4dcf-a841-b3703a0d9acd,0,972273.0,217.3008727776401,-0.03831608402431619,False,True,16,3,2024209,269478.0,283674.0,11,7,14,2,True,1468340.0,100.0,33,1469438,739,0,134,43600.666666666664,1418584,3173,1468699,31,1,0,0,0,0,Triage
3cf14e31-f416-4c78-8a69-91bf0c685448,0,518149.0,57.83106619939854,-0.1218703539435857,False,True,12,0,2024215,70053.0,83729.0,8,5,8,1,False,626462.0,100.0,21,696939,661,0,33,65044.0,593526,1150,696278,64,2,0,0,3,0,Triage
3cf14e31-f416-4c78-8a69-91bf0c685448,1,,0.0,,False,False,0,2,2024215,,,0,0,0,0,True,,,0,704798,704798,1,1,,0,1,0,0,0,0,1,0,0,Orientation
45365e18-6e38-48e7-b4a2-6b448b209034,0,566568.0,191.80220996866612,-0.01817290647483083,False,True,16,5,2024218,77344.0,90944.0,15,3,21,1,False,891521.0,87.5,61,911211,714,0,75,51051.0,745942,1516,910497,65,0,0,0,0,0,Triage
499179ba-3138-4bae-918e-ffc7fb943760,0,1167555.0,168.15341485228396,-0.03062693134103056,False,True,16,6,2024206,261870.0,285921.0,12,12,18,1,True,1673420.0,87.5,43,1743517,751,0,119,53275.333333333336,1613249,1932,1742766,7,0,0,0,5,0,Triage
4bc46c8c-66e7-463d-b3a1-2a8303af4fd1,0,429835.0,32.4856208281089,0.007080275866303221,False,True,11,7,2024203,65989.0,124849.0,5,1,4,0,False,547243.0,0.0,29,617021,748,0,35,0.0,15780,721,616273,56,0,0,0,0,0,Triage
4de6e23f-3c00-49d9-bbac-3a9febab4311,0,861995.0,179.90074542532895,-0.055141140684221934,False,True,16,1,2024222,209346.0,262965.0,8,6,14,2,True,1169790.0,87.5,29,1190307,726,0,62,47832.666666666664,1130391,1766,1189581,54,1,0,0,4,0,Triage
50b15e40-9860-4574-8ab8-0bd960fe27de,0,488996.0,50.923975626651746,0.9631368696313682,False,True,11,0,2024220,67746.0,72420.0,11,3,16,1,False,546059.0,33.333333333333336,8,579896,630,0,80,29543.0,512900,1788,579266,35,0,0,0,0,0,Triage
50b15e40-9860-4574-8ab8-0bd960fe27de,1,,0.0,,False,False,0,2,2024220,,,0,0,0,0,True,,,0,593675,584215,1,2,,0,3,9460,1,0,0,1,0,0,Orientation
5a909dc4-0f86-430d-a400-e37139cba69f,0,1208507.0,41.71297719946454,0.9650296076895353,False,True,10,0,2024212,108386.0,158851.0,8,1,8,0,True,1209137.0,33.333333333333336,17,1289760,630,0,29,42111.5,1158502,2613,1289130,36,1,0,0,0,0,Triage
5d8d73a3-1898-4f64-8676-73edd1b7daa0,0,443318.0,56.58152659094672,-0.07532096556305157,False,True,11,0,2024211,52406.0,71732.0,11,7,11,1,False,755682.0,100.0,18,764223,710,0,114,109308.0,577056,1381,763513,44,0,0,0,0,0,Triage
5d94f0d4-a1b1-4d18-8a62-591e196006a9,0,554758.0,69.28055184938609,-0.09957639874223867,False,True,12,0,2024219,64085.0,110793.0,11,1,12,0,False,606012.0,0.0,28,610194,632,0,71,2216.0,31647,900,609562,61,3,0,0,6,0,Triage
5d94f0d4-a1b1-4d18-8a62-591e196006a9,1,,0.0,,False,False,0,2,2024219,,,0,0,0,0,True,,,0,614300,614300,1,0,,0,0,0,1,0,0,1,0,0,Orientation
6666ee6b-863b-49d1-8097-97e6aa4fb39d,0,465376.0,123.88451982313967,-0.19995113242766083,False,True,16,8,2024221,80046.0,87596.0,6,1,7,0,False,528607.0,37.5,15,595590,792,0,32,14828.333333333334,427454,1435,594798,20,4,0,0,1,0,Triage
6666ee6b-863b-49d1-8097-97e6aa4fb39d,1,,0.0,,False,False,0,2,2024221,,,0,0,0,0,True,,,0,603630,603629,1,0,,0,0,1,2,0,0,1,0,0,Orientation
67dc0230-511d-41ac-ae9b-850900ab9e6a,0,537326.0,73.62357622117973,0.22147507364367403,False,True,12,0,2024208,16844.0,113520.0,10,4,11,0,False,538083.0,100.0,45,628208,757,0,82,28394.0,466355,970,627451,90,0,0,0,3,0,Triage
67dc0230-511d-41ac-ae9b-850900ab9e6a,1,,0.0,,False,False,0,2,2024208,,,0,0,0,0,True,,,0,638499,638499,1,1,,0,1,0,0,0,0,1,0,0,Orientation
6a76af00-56ef-408f-a445-6f5168e090a8,0,986250.0,147.38372050953305,-0.12193431090001039,False,True,15,4,2024221,256777.0,324629.0,9,1,10,0,True,1050286.0,75.0,40,1094815,714,0,75,23375.0,1085048,1243,1094101,40,1,0,0,1,0,Triage
6db9446c-2cd4-41b4-be8d-be5ccbbc6e05,0,,69.02802474149554,0.0500758452604414,False,True,14,0,2024217,102472.0,161590.0,5,2,5,0,False,529722.0,25.0,12,607081,649,1,63,2363.5,547429,1008,606432,59,1,0,0,3,0,Triage
70eef02d-d2d0-458e-a8bb-f6511bf47a0c,0,747787.0,106.91685065197574,0.13368847323604804,False,True,12,9,2024223,110204.0,207971.0,8,0,11,0,False,850141.0,0.0,19,939951,628,0,16,0.0,22872,2166,939323,11,0,0,0,0,0,Triage
80f79d45-22fd-479d-b6e2-c62b5778e073,0,781082.0,33.74293390086109,-0.007650021947509522,False,True,11,7,2024204,173713.0,299384.0,5,3,7,0,True,1018824.0,0.0,13,1036377,720,0,84,0.0,176034,2507,1035657,57,2,0,0,3,0,Triage
80f79d45-22fd-479d-b6e2-c62b5778e073,1,,0.0,,False,False,1,2,2024204,1054723.0,,0,0,0,0,True,1054723.0,,0,1060773,1054723,1,1,,0,2,6050,0,0,0,1,0,0,Triage
8839e3b8-be5e-4878-8aaf-26c656ae2270,0,784776.0,71.90191405310613,0.20500143631972212,False,True,11,0,2024207,34345.0,183722.0,6,5,10,1,False,894934.0,100.0,40,899477,678,0,26,65651.0,745363,1060,898799,64,1,0,0,2,0,Triage
922ad146-241a-4ea6-8ff1-413d7e0d16ec,0,797264.0,110.87573031337116,-0.09061680954771889,False,True,15,9,2024202,273798.0,286716.0,10,10,10,1,True,1051892.0,75.0,50,1077568,741,0,61,10631.75,861888,3892,1076827,5,0,0,0,0,0,Triage
922ad146-241a-4ea6-8ff1-413d7e0d16ec,1,,0.0,,False,False,0,2,2024202,,,0,0,0,0,True,,,0,1096262,1090838,1,1,,0,1,5424,0,0,0,1,0,0,Orientation
