session_uuid,scene_id,patient_sort00,injury_severity00,combo00,patient_sort01,injury_severity01,combo01,patient_sort02,injury_severity02,combo02,patient_sort03,injury_severity03,combo03,patient_sort04,injury_severity04,combo04,patient_sort05,injury_severity05,combo05,patient_sort06,injury_severity06,combo06,patient_sort07,injury_severity07,combo07,patient_sort08,injury_severity08,combo08,patient_sort09,injury_severity09,combo09,patient_sort10,injury_severity10,combo10,patient_sort11,injury_severity11,combo11,patient_sort12,injury_severity12,combo12,patient_sort13,injury_severity13,combo13,patient_sort14,injury_severity14,combo14,patient_sort15,injury_severity15,combo15,patient_sort16,injury_severity16,combo16,severe_hemorrhaging00,severe_hemorrhaging01,severe_hemorrhaging02,severe_hemorrhaging03,severe_hemorrhaging04,severe_hemorrhaging05,severe_hemorrhaging06,severe_hemorrhaging07,severe_hemorrhaging08,severe_hemorrhaging09,severe_hemorrhaging10,severe_hemorrhaging11,severe_hemorrhaging12,severe_hemorrhaging13,severe_hemorrhaging14,severe_hemorrhaging15,severe_hemorrhaging16,sort_hemorrhaging00,sort_hemorrhaging01,sort_hemorrhaging02,sort_hemorrhaging03,sort_hemorrhaging04,sort_hemorrhaging05,sort_hemorrhaging06,sort_hemorrhaging07,sort_hemorrhaging08,sort_hemorrhaging09,sort_hemorrhaging10,sort_hemorrhaging11,sort_hemorrhaging12,sort_hemorrhaging13,sort_hemorrhaging14,sort_hemorrhaging15,sort_hemorrhaging16
009b848c-ea64-4f22-bd40-711213a3d327,0,still,high,still-high,walker,low,walker-low,walker,low,walker-low,waver,medium,waver-medium,waver,medium,waver-medium,waver,high,waver-high,waver,medium,waver-medium,waver,medium,waver-medium,still,high,still-high,still,high,still-high,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,True,False,False,False,True,False,,,,,,,still-False,walker-False,walker-False,waver-False,waver-False,waver-True,waver-False,waver-False,still-False,still-True,walker-False,,,,,,
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,0,still,high,still-high,waver,medium,waver-medium,walker,low,walker-low,walker,medium,walker-medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,still-False,waver-False,walker-False,walker-False,,,,,,,,,,,,,
00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,1,still,high,still-high,still,high,still-high,still,high,still-high,waver,medium,waver-medium,waver,high,waver-high,waver,medium,waver-medium,waver,medium,waver-medium,waver,medium,waver-medium,walker,low,walker-low,walker,low,walker-low,walker,low,walker-low,,,,,,,,,,,,,,,,,,,False,True,False,False,True,False,False,False,False,False,False,,,,,,,still-False,still-True,still-False,waver-False,waver-True,waver-False,waver-False,waver-False,walker-False,walker-False,walker-False,,,,,,
02c225ff-2cb4-4e3e-b111-fbafa3dbec76,0,walker,,walker-nan,still,high,still-high,waver,medium,waver-medium,walker,medium,walker-medium,walker,low,walker-low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,,,,,,,,,,walker-False,still-False,waver-False,walker-False,walker-False,,,,,,,,,,,,
02f6a42e-5211-40ea-8384-824a83ab6760,0,still,high,still-high,waver,medium,waver-medium,waver,medium,waver-medium,still,high,still-high,waver,medium,waver-medium,still,high,still-high,walker,low,walker-low,waver,high,waver-high,waver,medium,waver-medium,walker,low,walker-low,walker,low,walker-low,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,True,False,False,False,,,,,,,still-False,waver-False,waver-False,still-True,waver-False,still-False,walker-False,waver-True,waver-False,walker-False,walker-False,,,,,,
02f6a42e-5211-40ea-8384-824a83ab6760,1,waver,,waver-nan,waver,,waver-nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,waver-False,waver-False,,,,,,,,,,,,,,,
03b398c5-6fc8-459c-9662-ce1e0babe4b1,0,still,high,still-high,still,high,still-high,still,high,still-high,waver,medium,waver-medium,waver,high,waver-high,waver,medium,waver-medium,waver,medium,waver-medium,waver,medium,waver-medium,walker,low,walker-low,walker,low,walker-low,walker,low,walker-low,,,,,,,,,,,,,,,,,,,False,True,False,False,True,False,False,False,False,False,False,,,,,,,still-False,still-True,still-False,waver-False,waver-True,waver-False,waver-False,waver-False,walker-False,walker-False,walker-False,,,,,,
040ba585-ccae-45ef-b4bd-a0e35ec222b0,0,still,high,still-high,waver,medium,waver-medium,walker,low,walker-low,walker,medium,walker-medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,still-False,waver-False,walker-False,walker-False,,,,,,,,,,,,,
040ba585-ccae-45ef-b4bd-a0e35ec222b0,1,waver,medium,waver-medium,waver,high,waver-high,waver,medium,waver-medium,still,high,still-high,waver,medium,waver-medium,waver,medium,waver-medium,still,high,still-high,still,high,still-high,walker,low,walker-low,walker,low,walker-low,walker,low,walker-low,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,True,False,False,False,,,,,,,waver-False,waver-True,waver-False,still-False,waver-False,waver-False,still-False,still-True,walker-False,walker-False,walker-False,,,,,,
04882754-51a0-4e5b-9617-b200e3609116,0,still,high,still-high,waver,medium,waver-medium,walker,medium,walker-medium,walker,low,walker-low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,still-False,waver-False,walker-False,walker-False,,,,,,,,,,,,,
