ID,Group,session_uuid,TtTS,TtHC,MTfHCpP,MPAT
Responder 1,EM Resident,009b848c-ea64-4f22-bd40-711213a3d327,668415,322897,38033.181818181816,61.66666666666667
Responder 2,Medical Student,00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,487326,309256,5369.181818181818,88.33333333333334
Responder 3,Paramedic,02f6a42e-5211-40ea-8384-824a83ab6760,620353,467032,18839.272727272728,78.33333333333334
Responder 4,Paramedic,03b398c5-6fc8-459c-9662-ce1e0babe4b1,372595,252367,4139.909090909091,73.33333333333334
Responder 5,Paramedic,040ba585-ccae-45ef-b4bd-a0e35ec222b0,364187,184918,5426.909090909091,100.0
Responder 6,Paramedic,04882754-51a0-4e5b-9617-b200e3609116,497774,467516,7177.090909090909,90.0
Responder 7,Paramedic,04acc8f2-1e64-47b2-9606-8d661f584aec,596164,435357,8904.454545454546,90.0
Responder 8,EM Resident,06303b89-128e-4bfb-9e6f-a843da3134f9,431858,326317,2273.0,93.33333333333334
Responder 9,Medical Student,0667e56a-abe6-4097-9a56-33735f4855e2,669719,503495,40049.72727272727,52.77777777777778
Responder 10,EMT-Basic,0786a1df-d010-4b1b-a99a-e00df486d479,458250,236370,7443.181818181818,53.333333333333336
Responder 11,EM Resident,09024025-1320-4891-aefa-a497744ed3e2,534911,406196,21920.909090909092,68.33333333333334
Responder 12,EM Resident,09f30ce2-1507-4ef1-84f1-3dfb3e6d9b86,454873,434341,45692.454545454544,70.83333333333333
Responder 13,EMT-Basic,0b01cf49-87cc-4647-9f29-b8dff39dcd6c,614685,401670,4547.272727272727,86.66666666666666
Responder 14,EM Resident,0b1d6253-9c4f-43b7-8217-6f0e486aabe7,721147,557553,49448.181818181816,62.5
Responder 15,EMT-Basic,0b41cfdc-0891-4d1d-91ea-ac86fa54a34c,409248,221889,5087.272727272727,66.66666666666666
Responder 16,EM Resident,0d3e0c62-db52-40f9-9ee8-7fc84a1dcbf2,501693,393141,13570.09090909091,60.0
Responder 17,EM-Faculty,0fa439d6-476c-49a5-b478-48e3454974e1,428337,271677,4948.636363636364,70.0
Responder 18,Medical Student,0fb12cf8-dcf5-4110-b090-3b3271e9add6,626974,507141,8075.454545454545,100.0
Responder 19,EM Resident,1044049f-c7e0-4a16-98d3-e3826b4b8bfc,520167,371822,25691.090909090908,60.0
Responder 20,Medical Student,1046b7d9-5848-41b5-9438-cf0dc4dc6cbe,552086,301066,20873.090909090908,50.0
Responder 21,Medical Student,1344120d-5834-4bbf-8f60-383a8752b512,597307,364960,4513.909090909091,68.33333333333334
Responder 22,Medical Student,13839608-6085-4a88-a8f2-74af9fd06a05,661645,484933,4403.636363636364,72.22222222222221
Responder 23,Paramedic,13862ebb-4616-4d09-a725-c34661b6fa9c,470781,368082,6642.0,90.0
Responder 24,Paramedic,14a344df-eee2-4fd1-b182-e3cdacd9026c,527446,395502,5266.636363636364,90.0
Responder 25,EMT-Basic,14f8e67c-bdc3-4c9c-9603-70cd51eb2367,463751,246484,2714.0,75.0
Responder 26,Paramedic,1507bc88-8d4c-4c1c-9291-210f790c96e3,531588,382274,5073.636363636364,65.0
Responder 27,Paramedic,1563e213-aaa4-4b79-84a1-8f917ea9f7a9,249628,179048,2677.090909090909,100.0
Responder 28,Paramedic,15bb887b-b5ae-49a5-8a23-f2ac7808f11f,454027,301211,5341.818181818182,88.33333333333334
Responder 29,Paramedic,16359508-f91b-4f85-baeb-dade7d574a61,347985,284818,3256.3636363636365,95.0
Responder 30,Medical Student,16373b36-886a-4d0d-9015-474d29d139cc,569124,384463,35587.818181818184,80.0
Responder 31,Medical Student,1663640c-5a60-4fa6-8bf4-249f41a693a5,460231,391094,4530.818181818182,83.33333333333334
Responder 32,Paramedic,17b80e0f-9afe-497f-b3a3-0549c14a4ba9,475638,298815,25448.0,73.33333333333334
Responder 33,Paramedic,1813599d-cfde-45f0-8555-428b57478ebb,421768,241960,2704.909090909091,85.0
Responder 34,Paramedic,18bfbc11-3c60-4c89-94cc-ac8fea028318,436906,278750,3825.0,65.0
Responder 35,Paramedic,18e1dec6-b780-4e77-a6b9-f608f2483e53,489084,463884,3356.090909090909,85.0
Responder 36,Paramedic,1cfebb9a-6000-4742-81be-6103ebe168bc,437191,287103,4014.090909090909,85.0
Responder 37,Paramedic,1df10bfd-0f85-42ff-a873-36dfe05df77b,468316,304519,7670.090909090909,60.0
Responder 38,Paramedic,1e7d274d-f393-4888-9f28-4de53b0260e3,442994,340735,7557.090909090909,62.5
Responder 39,Paramedic,1fb559e8-15c6-463a-bda8-79ca0bfc330f,292979,184064,1830.090909090909,90.0
Responder 40,EMT-Basic,20168f93-040c-4290-aa7e-2b197825c9de,800854,654676,4128.272727272727,93.33333333333334
