participant_id,scene_id,session_uuid,mean_AD_KDMA_Sim,mean_AD_KDMA_Text,mean_PropTrust,mean_ST_KDMA_Sim,mean_ST_KDMA_Text,mean_YrsMilExp,mean_actual_engagement_distance,mean_engaged_patient00_engagement_start,mean_engaged_patient01_engagement_start,mean_engaged_patient02_engagement_start,mean_engaged_patient03_engagement_start,mean_engaged_patient04_engagement_start,mean_first_engagement,mean_first_treatment,mean_injury_correctly_treated_count,mean_injury_not_treated_count,mean_injury_wrongly_treated_count,mean_last_engagement,mean_last_still_engagement,mean_measure_of_right_ordering,mean_patient_count,mean_percent_hemorrhage_controlled,mean_prioritize_high_injury_severity_patients,mean_pulse_taken_count,mean_stills_value,mean_teleport_count,mean_time_to_hemorrhage_control_per_patient,mean_time_to_last_hemorrhage_controlled,mean_total_actions_count,mean_triage_time,mean_unengaged_patient00_engagement_start,mean_unengaged_patient01_engagement_start,mean_unengaged_patient02_engagement_start,mean_unengaged_patient03_engagement_start,mean_unengaged_patient04_engagement_start,mean_voice_capture_count,mean_walk_command_count,mean_walk_value,mean_walkers_value,mean_wave_command_count,mean_wave_value,engaged_patient00_injury_severity,engaged_patient00_location_tuple,engaged_patient00_patient_id,engaged_patient00_patient_sort,engaged_patient01_injury_severity,engaged_patient01_location_tuple,engaged_patient01_patient_id,engaged_patient01_patient_sort,engaged_patient02_injury_severity,engaged_patient02_location_tuple,engaged_patient02_patient_id,engaged_patient02_patient_sort,engaged_patient03_injury_severity,engaged_patient03_location_tuple,engaged_patient03_patient_id,engaged_patient03_patient_sort,engaged_patient04_injury_severity,engaged_patient04_location_tuple,engaged_patient04_patient_id,engaged_patient04_patient_sort,unengaged_patient00_injury_severity,unengaged_patient00_location_tuple,unengaged_patient00_patient_id,unengaged_patient00_patient_sort,unengaged_patient01_injury_severity,unengaged_patient01_location_tuple,unengaged_patient01_patient_id,unengaged_patient01_patient_sort,unengaged_patient02_injury_severity,unengaged_patient02_location_tuple,unengaged_patient02_patient_id,unengaged_patient02_patient_sort,unengaged_patient03_injury_severity,unengaged_patient03_location_tuple,unengaged_patient03_patient_id,unengaged_patient03_patient_sort,unengaged_patient04_injury_severity,unengaged_patient04_location_tuple,unengaged_patient04_patient_id,unengaged_patient04_patient_sort,medical_role,encounter_layout
2024201,0,23081f6e-875e-44f5-8bd0-edc3905f5c2c,0.341666667,0.416666667,3.6666666670000003,0.558333333,0.421211501,0.0,38.266463797782215,987801.0,998587.0,1083270.0,1193105.0,1267526.0,986410.0,998587.0,9.0,5.0,5.0,1262495.0,795979.0,1.0,5.0,100.0,0.0,2.0,1.0,31.0,3047.25,1075704.0,2104.0,1114550.0,,,,,,43.0,0.0,0.0,1.0,0.0,0.0,high,"(0.0, 0.0)",Marine 1 Male Root,still,medium,"(10.2, 19.0)",Marine 4 Male Root,waver,high,"(11.3, 10.4)",Marine 3 Male Root,waver,medium,"(14.1, 9.6)",Marine 2 Male Root,waver,high,"(13.0, 4.6)",Civilian 1 Female Root,waver,,,,,,,,,,,,,,,,,,,,,Other,Urban
2024201,0,bccb0095-5efd-4c5c-ad58-8b8624f9ab56,0.341666667,0.416666667,3.6666666670000003,0.558333333,0.42121150100000004,0.0,41.736070792092804,497209.0,534682.0,588674.0,623775.0,,490141.0,497209.0,7.0,5.0,2.0,615726.0,579884.0,-0.4999999668966342,4.0,100.0,1.0,5.0,0.0,38.0,0.0,544783.0,1881.0,633930.0,,,,,,54.0,0.0,0.0,0.0,0.0,0.0,medium,"(8.2, -26.6)",Open World Civilian 1 Male Root,waver,high,"(10.3, -23.0)",Open World Marine 2 Male Root,still,low,"(14.2, -27.9)",Open World Marine 1 Female Root,walker,high,"(0.0, 0.0)",Open World Civilian 2 Female Root,still,,,,,,,,,,,,,,,,,,,,,,,,,Other,Desert
2024201,1,23081f6e-875e-44f5-8bd0-edc3905f5c2c,0.341666667,0.416666667,3.666666667,0.558333333,0.421211501,0.0,0.0,,,,,,,,0.0,11.0,0.0,,-1454434.0,,4.0,0.0,0.0,0.0,1.0,6.0,0.0,2250.0,6.0,49119.0,-99999.0,-99999.0,-99999.0,-99999.0,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,medium,None,Open World Civilian 1 Male Root,waver,high,None,Open World Civilian 2 Female Root,still,low,None,Open World Marine 1 Female Root,walker,high,None,Open World Marine 2 Male Root,still,,,,,Other,Desert
2024201,2,23081f6e-875e-44f5-8bd0-edc3905f5c2c,0.34166666700000003,0.416666667,3.6666666670000003,0.558333333,0.42121150100000004,0.0,0.0,,,,,,,,0.0,0.0,0.0,,-1522438.0,,4.0,,0.0,0.0,1.0,3.0,,0.0,3.0,43408.0,-99999.0,-99999.0,-99999.0,-99999.0,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,nan,None,Open World Civilian 1 Male Root,waver,nan,None,Open World Civilian 2 Female Root,still,nan,None,Open World Marine 1 Female Root,walker,nan,None,Open World Marine 2 Male Root,still,,,,,Other,Desert
2024201,3,23081f6e-875e-44f5-8bd0-edc3905f5c2c,0.341666667,0.416666667,3.666666667,0.558333333,0.421211501,0.0,0.0,,,,,,,,0.0,0.0,0.0,,-1579149.0,,4.0,,0.0,0.0,1.0,1.0,,0.0,1.0,18810.0,-99999.0,-99999.0,-99999.0,-99999.0,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,nan,None,Open World Civilian 1 Male Root,waver,nan,None,Open World Civilian 2 Female Root,still,nan,None,Open World Marine 1 Female Root,walker,nan,None,Open World Marine 2 Male Root,still,,,,,Other,Desert
2024202,0,220b609b-0e35-454e-9afd-c84cbfa3e3ad,0.341666667,0.416666667,4.333333333,0.595512821,0.434774959,0.0,22.11170662092715,883896.0,996346.0,1055180.0,1092407.0,1199403.0,814550.0,883896.0,11.0,3.0,3.0,1420829.0,830314.0,0.9771494282091421,5.0,80.0,0.0,23.0,0.0,132.0,13759.5,1038825.0,3240.0,1401959.0,,,,,,29.0,0.0,0.0,0.0,0.0,0.0,high,"(7.2, 21.7)",Marine 1 Male Root,still,medium,"(10.1, 18.9)",Marine 4 Male Root,waver,medium,"(14.1, 9.6)",Marine 2 Male Root,waver,high,"(11.3, 10.4)",Marine 3 Male Root,waver,high,"(12.5, 5.5)",Civilian 1 Female Root,waver,,,,,,,,,,,,,,,,,,,,,Paramedic,Urban
2024202,0,922ad146-241a-4ea6-8ff1-413d7e0d16ec,0.341666667,0.416666667,4.333333333,0.5955128210000001,0.43477495899999996,0.0,11.618757448029907,711909.0,736441.0,805702.0,862629.0,,700018.0,711909.0,10.0,1.0,3.0,1051892.0,659716.0,-0.17219495527891904,4.0,66.66666666666667,1.0,14.0,0.0,61.0,8492.666666666666,716643.0,2011.0,931582.0,,,,,,2.0,0.0,0.0,1.0,0.0,0.0,medium,"(8.2, -26.7)",Open World Civilian 1 Male Root,waver,high,"(10.4, -23.0)",Open World Marine 2 Male Root,still,high,"(14.4, -25.3)",Open World Civilian 2 Female Root,still,low,"(14.4, -28.0)",Open World Marine 1 Female Root,walker,,,,,,,,,,,,,,,,,,,,,,,,,Paramedic,Desert
2024202,1,922ad146-241a-4ea6-8ff1-413d7e0d16ec,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024203,0,4bc46c8c-66e7-463d-b3a1-2a8303af4fd1,0.46666666700000003,0.516666667,4.0,0.587820513,0.331948761,0.0,0.0,,,,,,,,0.0,13.0,0.0,,-115332.0,,4.0,0.0,0.0,0.0,1.0,35.0,0.0,1195.0,660.0,601688.0,-99999.0,-99999.0,-99999.0,-99999.0,,55.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,high,None,Open World Marine 1 Male Root,still,medium,None,Open World Marine 2 Female Root,waver,high,None,Open World Marine 3 Male Root,waver,high,None,Open World Marine 4 Male Root,still,,,,,Medical student,Jungle
2024203,0,acf74a81-a534-44c7-9cb1-67ec381b5ee0,0.466666667,0.516666667,4.0,0.587820513,0.331948761,0.0,15.77458804531178,961557.0,1002053.0,1063723.0,1307217.0,,952187.0,961557.0,17.0,4.0,0.0,1371254.0,826996.0,0.9812208271039525,4.0,100.0,0.0,26.0,0.0,72.0,7021.5,897778.0,3379.0,1201115.0,,,,,,2.0,1.0,1.0,0.0,0.0,0.0,high,"(-0.1, -5.5)",Navy Soldier 2 Male Root,waver,high,"(-0.4, -0.3)",Navy Soldier 1 Male Root,still,medium,"(0.0, 3.7)",Navy Soldier 3 Male Root,waver,high,"(-5.4, 0.0)",Navy Soldier 4 Female Root,waver,,,,,,,,,,,,,,,,,,,,,,,,,Medical student,Submarine
