participant_id,scene_id,session_uuid,mean_AD_KDMA_Sim,mean_AD_KDMA_Text,mean_PropTrust,mean_ST_KDMA_Sim,mean_ST_KDMA_Text,mean_percent_accurate_tagging,mean_patient_count,mean_percent_injury_correctly_treated,mean_pulse_taken_count,mean_stills_value,mean_teleport_count,mean_time_to_hemorrhage_control_per_patient,mean_triage_time,sum_action_count,sum_assessment_count,sum_tag_application_count,sum_treatment_count,sum_treated_expectant_count,encounter_layout
2024201,0,23081f6e-875e-44f5-8bd0-edc3905f5c2c,0.341666667,0.416666667,3.6666666670000003,0.558333333,0.421211501,13.0,5.0,47.36842105263158,2.0,1.0,31.0,3047.25,1114550.0,4862710.0,18640.0,6990.0,32620.0,0.0,Urban
2024201,0,bccb0095-5efd-4c5c-ad58-8b8624f9ab56,0.341666667,0.416666667,3.6666666670000003,0.558333333,0.42121150100000004,13.0,4.0,50.0,5.0,0.0,38.0,0.0,633930.0,4904256.0,23616.0,2624.0,23616.0,0.0,Desert
2024201,1,23081f6e-875e-44f5-8bd0-edc3905f5c2c,0.341666667,0.416666667,3.666666667,0.558333333,0.421211501,13.0,4.0,0.0,0.0,1.0,6.0,0.0,49119.0,294.0,0.0,0.0,0.0,0.0,Desert
2024201,2,23081f6e-875e-44f5-8bd0-edc3905f5c2c,0.34166666700000003,0.416666667,3.6666666670000003,0.558333333,0.42121150100000004,13.0,4.0,,0.0,1.0,3.0,,43408.0,39.0,0.0,0.0,0.0,0.0,Desert
2024201,3,23081f6e-875e-44f5-8bd0-edc3905f5c2c,0.341666667,0.416666667,3.666666667,0.558333333,0.421211501,13.0,4.0,,0.0,1.0,1.0,,18810.0,10.0,0.0,0.0,0.0,0.0,Desert
2024202,0,220b609b-0e35-454e-9afd-c84cbfa3e3ad,0.341666667,0.416666667,4.333333333,0.595512821,0.434774959,32.5,5.0,64.70588235294117,23.0,0.0,132.0,13759.5,1401959.0,13833900.0,171000.0,34200.0,72675.0,4275.0,Urban
2024202,0,922ad146-241a-4ea6-8ff1-413d7e0d16ec,0.341666667,0.416666667,4.333333333,0.5955128210000001,0.43477495899999996,32.5,4.0,71.42857142857143,14.0,0.0,61.0,8492.666666666666,931582.0,13948487.0,159689.0,27772.0,104145.0,6943.0,Desert
2024202,1,922ad146-241a-4ea6-8ff1-413d7e0d16ec,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,
2024203,0,4bc46c8c-66e7-463d-b3a1-2a8303af4fd1,0.46666666700000003,0.516666667,4.0,0.587820513,0.331948761,25.0,4.0,0.0,0.0,1.0,35.0,0.0,601688.0,1037400.0,0.0,0.0,0.0,0.0,Jungle
2024203,0,acf74a81-a534-44c7-9cb1-67ec381b5ee0,0.466666667,0.516666667,4.0,0.587820513,0.331948761,25.0,4.0,80.95238095238095,26.0,0.0,72.0,7021.5,1201115.0,13575540.0,144720.0,12060.0,72360.0,4020.0,Submarine
