session_uuid,scene_id,engaged_patient00_metadata,engaged_patient01_metadata,engaged_patient02_metadata,engaged_patient03_metadata,last_still_engagement,actual_engagement_distance,measure_of_right_ordering,unengaged_patient00_metadata,unengaged_patient01_metadata,unengaged_patient02_metadata,unengaged_patient03_metadata,engaged_patient04_metadata,unengaged_patient04_metadata,adherence_to_salt,scene_patient_count,participant_id,scene_patient_injuries_count,scene_correctly_treated_count,scene_percent_injury_correctly_treated,scene_pulse_taken_count,scene_stills_value,scene_teleport_count,scene_time_to_hemorrhage_control_per_patient,scene_triage_time,scene_action_count,scene_assessment_count,scene_treatment_count,scene_tag_application_count,encounter_layout,mean_percent_accurate_tagging,treated_expectant_count,AD_KDMA_Sim,AD_KDMA_Text,PropTrust,ST_KDMA_Sim,ST_KDMA_Text
02d472ac-f6fe-474c-815d-6125fadfcbf7,0,"Navy Soldier 2 Male Root|796550|(0.4, -6.8)|waver|None|high","Navy Soldier 4 Female Root|925557|(-4.2, -0.5)|waver|None|high","Navy Soldier 3 Male Root|1001304|(-0.2, 3.6)|waver|None|medium","Navy Soldier 1 Male Root|1098482|(-0.4, -0.3)|still|None|high",962139.0,17.433767233903758,-0.3398473198265459,,,,,,,False,4,2024211,22,17,77.27272727272727,10,0,145,74591.5,1244082,2943,22,29,4,Submarine,37.5,1.0,0.5,0.475,3.333333333,0.634265734,0.267488168
04f80090-9e61-431d-8473-dccb75fed04d,0,"Navy Soldier 2 Male Root|651632|(-0.1, -5.5)|waver|None|high","Navy Soldier 1 Male Root|735733|(0.1, 0.5)|still|None|high","Navy Soldier 4 Female Root|830206|(-5.3, -0.1)|waver|None|high","Navy Soldier 3 Male Root|889749|(-0.5, 3.3)|waver|None|medium",714842.0,17.318739958745,0.6501640504434033,,,,,,,False,4,2024207,20,17,85.0,10,0,62,4862.0,922257,2122,15,20,4,Submarine,37.5,1.0,0.416666667,0.316666667,4.0,0.492307692,0.321641352
05e0be07-479a-4ea4-9b90-3fc7b79ef7ff,0,"Marine 1 Male Root|875377|(7.2, 21.7)|still|None|high","Marine 4 Male Root|925997|(10.2, 18.8)|still|None|medium",,,896972.0,4.1725292090050115,,Civilian 1 Female Root|-99999|None|still|None|high,Marine 2 Male Root|-99999|None|waver|None|medium,Marine 3 Male Root|-99999|None|still|None|high,,,,False,5,2024225,15,7,46.666666666666664,4,1,30,1897.0,935242,1188,6,7,2,Urban,32.5,1.0,0.416666667,0.366666667,4.333333333,0.543181818,0.480868855
0bc62b93-ac4d-40ef-bdfe-1d7badb24f70,0,"Navy Soldier 1 Male Root|790701|(-0.4, -0.3)|still|None|high","Navy Soldier 3 Male Root|821617|(-0.5, 3.3)|waver|None|medium","Navy Soldier 2 Male Root|885685|(-0.1, -5.5)|waver|None|high","Navy Soldier 4 Female Root|970326|(-5.3, -0.1)|waver|None|high",656753.0,19.907140764888442,1.0,,,,,,,True,4,2024208,20,11,55.0,15,1,168,17320.0,911229,4395,20,13,5,Submarine,75.0,1.0,0.466666667,0.316666667,4.333333333,0.553846154,0.325920037
0e8693a1-1926-4d56-b0c4-ee2dc8181fc6,0,"Open World Marine 2 Male Root|782677|(10.3, -23.0)|still|None|high","Open World Marine 1 Female Root|837870|(14.3, -27.9)|still|None|low","Open World Civilian 1 Male Root|918896|(8.2, -26.8)|still|None|medium","Open World Civilian 2 Female Root|997335|(14.2, -25.7)|still|None|high",892226.0,18.62373272727208,1.0,,,,,,,True,4,2024226,14,8,57.142857142857146,22,1,85,10172.666666666666,1086288,2331,35,13,4,Desert,45.0,1.0,0.316666667,0.366666667,3.666666667,0.621794872,0.484169598
1995e7ef-ef02-4fc1-b1ab-f137dbf69d48,0,"Marine 1 Male Root|758326|(0.0, 0.0)|still|None|high",,,,736002.0,0.0,,Civilian 1 Female Root|-99999|None|waver|None|high,Marine 2 Male Root|-99999|None|waver|None|medium,Marine 3 Male Root|-99999|None|waver|None|high,Marine 4 Male Root|-99999|None|waver|None|medium,,,False,5,2024217,15,0,0.0,2,1,87,0.0,746527,2910,3,0,0,Urban,0.0,0.0,0.566666667,0.466666667,4.0,0.466666667,0.430107097
21f8cb5d-f5ac-4a01-9287-43df5f6751a1,0,"Navy Soldier 1 Male Root|652401|(-0.4, -0.3)|still|None|high","Navy Soldier 3 Male Root|742753|(-0.4, 3.4)|waver|None|medium",,,629498.0,3.6999999999999997,,Navy Soldier 2 Male Root|-99999|None|waver|None|high,Navy Soldier 4 Female Root|-99999|None|waver|None|high,,,,,False,4,2024219,18,9,50.0,4,1,109,2468.5,754460,1286,6,9,2,Submarine,12.5,1.0,0.5,0.516666667,4.333333333,0.538461538,0.319749969
220b609b-0e35-454e-9afd-c84cbfa3e3ad,0,"Marine 1 Male Root|883896|(7.2, 21.7)|still|None|high","Marine 4 Male Root|996346|(10.1, 18.9)|waver|None|medium","Marine 2 Male Root|1055180|(14.1, 9.6)|waver|None|medium","Marine 3 Male Root|1092407|(11.3, 10.4)|waver|None|high",830314.0,22.11170662092715,0.9771494282091421,,,,,"Civilian 1 Female Root|1199403|(12.5, 5.5)|waver|None|high",,False,5,2024202,17,11,64.70588235294117,23,0,132,13759.5,1401959,3236,40,17,8,Urban,32.5,1.0,0.341666667,0.416666667,4.333333333,0.595512821,0.434774959
23081f6e-875e-44f5-8bd0-edc3905f5c2c,0,"Marine 1 Male Root|987801|(0.0, 0.0)|still|None|high","Marine 4 Male Root|998587|(10.2, 19.0)|waver|None|medium","Marine 3 Male Root|1083270|(11.3, 10.4)|waver|None|high","Marine 2 Male Root|1193105|(14.1, 9.6)|waver|None|medium",795979.0,38.266463797782215,1.0,,,,,"Civilian 1 Female Root|1267526|(13.0, 4.6)|waver|None|high",,True,5,2024201,19,9,47.36842105263158,2,1,31,3047.25,1114550,2087,8,14,3,Urban,13.0,0.0,0.341666667,0.416666667,3.666666667,0.558333333,0.421211501
23081f6e-875e-44f5-8bd0-edc3905f5c2c,1,,,,,-1454434.0,0.0,,Open World Civilian 1 Male Root|-99999|None|waver|None|medium,Open World Civilian 2 Female Root|-99999|None|still|None|high,Open World Marine 1 Female Root|-99999|None|walker|None|low,Open World Marine 2 Male Root|-99999|None|still|None|high,,,False,4,2024201,11,0,0.0,0,1,6,0.0,49119,6,0,0,0,Desert,13.0,0.0,0.341666667,0.416666667,3.666666667,0.558333333,0.421211501
